	1021	3841	CCGE532	CCGM7	CCNWGS0123	CFN42	CIAT899	HAMBI540	IE4803	IRBG74	LMTR13	MAFF303099	Mim1	N161	N561	NGR234	NXC24	ORS2060	ORS285	ORS571	R602	USDA110	USDA6	WSM1325	WSM2073	WSM2304	WSM419
MAFF303099	0.7777777777777778	0.75	0.75	0.75	0.7142857142857143	0.625	0.625	0.7142857142857143	0.5	0.7142857142857143	0.42857142857142855	1.0	0.625	0.625	0.625	0.75	0.75	0.42857142857142855	0.2857142857142857	0.42857142857142855	0.5555555555555556	0.42857142857142855	0.42857142857142855	0.75	0.7142857142857143	0.625	0.6666666666666666
Mim1	0.5	0.8571428571428571	0.8571428571428571	0.4444444444444444	0.375	1.0	1.0	0.5714285714285714	0.8333333333333334	0.5714285714285714	0.5	0.625	1.0	1.0	1.0	0.625	0.8571428571428571	0.5	0.3333333333333333	0.5	0.8571428571428571	0.5	0.5	0.8571428571428571	0.375	1.0	0.4
N161	0.5	0.8571428571428571	0.8571428571428571	0.4444444444444444	0.375	1.0	1.0	0.5714285714285714	0.8333333333333334	0.5714285714285714	0.5	0.625	1.0	1.0	1.0	0.625	0.8571428571428571	0.5	0.3333333333333333	0.5	0.8571428571428571	0.5	0.5	0.8571428571428571	0.375	1.0	0.4
N561	0.5	0.8571428571428571	0.8571428571428571	0.4444444444444444	0.375	1.0	1.0	0.5714285714285714	0.8333333333333334	0.5714285714285714	0.5	0.625	1.0	1.0	1.0	0.625	0.8571428571428571	0.5	0.3333333333333333	0.5	0.8571428571428571	0.5	0.5	0.8571428571428571	0.375	1.0	0.4
NGR234	0.6	0.75	0.75	0.5555555555555556	0.7142857142857143	0.625	0.625	0.5	0.7142857142857143	0.5	0.25	0.75	0.625	0.625	0.625	1.0	0.75	0.25	0.2857142857142857	0.25	0.5555555555555556	0.25	0.25	0.75	0.5	0.625	0.5
NXC24	0.6	1.0	1.0	0.5555555555555556	0.5	0.8571428571428571	0.8571428571428571	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.42857142857142855	0.75	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.75	1.0	0.42857142857142855	0.2857142857142857	0.42857142857142855	0.75	0.42857142857142855	0.42857142857142855	1.0	0.5	0.8571428571428571	0.5
ORS2060	0.3333333333333333	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3333333333333333	0.5	0.5	0.6	0.3333333333333333	0.6	1.0	0.42857142857142855	0.5	0.5	0.5	0.25	0.42857142857142855	1.0	0.6666666666666666	1.0	0.42857142857142855	1.0	1.0	0.42857142857142855	0.6	0.5	0.375
ORS285	0.2222222222222222	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.4	0.3333333333333333	0.3333333333333333	0.4	0.4	0.4	0.6666666666666666	0.2857142857142857	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.2857142857142857	0.2857142857142857	0.6666666666666666	1.0	0.6666666666666666	0.2857142857142857	0.6666666666666666	0.6666666666666666	0.2857142857142857	0.4	0.3333333333333333	0.25
ORS571	0.3333333333333333	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3333333333333333	0.5	0.5	0.6	0.3333333333333333	0.6	1.0	0.42857142857142855	0.5	0.5	0.5	0.25	0.42857142857142855	1.0	0.6666666666666666	1.0	0.42857142857142855	1.0	1.0	0.42857142857142855	0.6	0.5	0.375
R602	0.6	0.75	0.75	0.5555555555555556	0.3333333333333333	0.8571428571428571	0.8571428571428571	0.5	0.7142857142857143	0.5	0.42857142857142855	0.5555555555555556	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.5555555555555556	0.75	0.42857142857142855	0.2857142857142857	0.42857142857142855	1.0	0.42857142857142855	0.42857142857142855	0.75	0.3333333333333333	0.8571428571428571	0.5
USDA110	0.3333333333333333	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3333333333333333	0.5	0.5	0.6	0.3333333333333333	0.6	1.0	0.42857142857142855	0.5	0.5	0.5	0.25	0.42857142857142855	1.0	0.6666666666666666	1.0	0.42857142857142855	1.0	1.0	0.42857142857142855	0.6	0.5	0.375
USDA6	0.3333333333333333	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.3333333333333333	0.5	0.5	0.6	0.3333333333333333	0.6	1.0	0.42857142857142855	0.5	0.5	0.5	0.25	0.42857142857142855	1.0	0.6666666666666666	1.0	0.42857142857142855	1.0	1.0	0.42857142857142855	0.6	0.5	0.375
WSM1325	0.6	1.0	1.0	0.5555555555555556	0.5	0.8571428571428571	0.8571428571428571	0.7142857142857143	0.7142857142857143	0.7142857142857143	0.42857142857142855	0.75	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.75	1.0	0.42857142857142855	0.2857142857142857	0.42857142857142855	0.75	0.42857142857142855	0.42857142857142855	1.0	0.5	0.8571428571428571	0.5
WSM2073	0.5555555555555556	0.5	0.5	0.7142857142857143	0.6666666666666666	0.375	0.375	0.6666666666666666	0.25	0.6666666666666666	0.6	0.7142857142857143	0.375	0.375	0.375	0.5	0.5	0.6	0.4	0.6	0.3333333333333333	0.6	0.6	0.5	1.0	0.375	0.625
WSM2304	0.5	0.8571428571428571	0.8571428571428571	0.4444444444444444	0.375	1.0	1.0	0.5714285714285714	0.8333333333333334	0.5714285714285714	0.5	0.625	1.0	1.0	1.0	0.625	0.8571428571428571	0.5	0.3333333333333333	0.5	0.8571428571428571	0.5	0.5	0.8571428571428571	0.375	1.0	0.4
WSM419	0.8888888888888888	0.5	0.5	0.875	0.625	0.4	0.4	0.625	0.3	0.625	0.375	0.6666666666666666	0.4	0.4	0.4	0.5	0.5	0.375	0.25	0.375	0.5	0.375	0.375	0.5	0.625	0.4	1.0
