OG0007537.0	OG0008438.7	OG0000334.9	OG0002769.24	OG0000486.2	OG0005090.0	OG0000002.1788	OG0000100.1	OG0003278.0
1.047762	1.186549	1.265232	10.35869	2.731414	1.2160540000000002	nan	nan	3.671294
OG0000112.0	OG0000009.921	OG0006118.4	OG0003156.4	OG0006607.0	OG0001557.1	OG0007546.0	OG0007402.0	OG0000007.3
0.9729732	nan	5.469681	0.116828	222.7855	21.40628	3.006128	10.01379	nan
OG0002713.0	OG0000139.0	OG0004254.44	OG0008961.0	OG0000010.475	OG0000200.0	OG0003830.0	OG0005095.4	OG0000015.1
2.841877	3.153003	2.614009	4.477915	nan	1.051104	nan	9.298468	nan
OG0013621.0	OG0002284.0	OG0003229.0	OG0012910.0	OG0000710.0	OG0000018.289	OG0000169.16	OG0002447.0	OG0000043.242
3.4975739999999997	5.867358	1.723337	231.5381	9.025097	nan	1.320063	2.6901450000000002	nan
OG0004942.0	OG0003229.0	OG0000109.0	OG0000177.8	OG0013634.0	OG0000039.0	OG0005643.0	OG0011224.0	OG0000007.3
10.89668	1.723337	nan	5.586796	1.361143	nan	3.7910559999999998	0.7111385	nan
OG0000176.0	OG0000018.842	OG0000009.921	OG0006623.0	OG0001986.24	OG0009811.0	OG0001557.1	OG0005447.3	OG0007186.0
nan	2.682202	nan	218.2439	1.4465569999999999	nan	21.40628	5.571809	nan
OG0000112.0	OG0004245.1	OG0000045.0	OG0004723.0	OG0004970.0	OG0000015.773	OG0011284.4	OG0009784.0	OG0000442.2
0.9729732	97.91944000000001	nan	20.04782	10.375869999999999	nan	234.7337	1.853898	4.111063
OG0015300.0	OG0006416.0	OG0004249.0	OG0006087.9	OG0000116.0	OG0000090.24	OG0006389.4	OG0000013.2	OG0000442.2
1.0907959999999999	nan	1.1216270000000002	4.167943	nan	1.567615	6.042633	nan	4.111063
OG0004595.0	OG0002284.0	OG0011372.0	OG0000007.976	OG0000047.282	OG0000349.0	OG0003313.1	OG0005490.6	OG0000015.1
5.817024	5.867358	1.186013	nan	3.909817	2.254695	66.40208	5.7359919999999995	nan
OG0002284.0	OG0006168.0	OG0000245.24	OG0006647.0	OG0000047.282	OG0000018.289	OG0000060.0	OG0004808.0	OG0007182.0
5.867358	1.228509	nan	222.30900000000003	3.909817	nan	nan	8.992155	5.10559
OG0000310.18	OG0006118.4	OG0000486.2	OG0010782.2	OG0012919.2	OG0000011.866	OG0000105.0	OG0003914.5	OG0003049.0
nan	5.469681	2.731414	2.604708	233.8686	nan	nan	3.054687	3.876821
OG0004225.4	OG0000710.0	OG0000002.1788	OG0000192.0	OG0004763.0	OG0000043.242	OG0006571.8	OG0005142.2	OG0007182.0
0.8697355999999999	9.025097	nan	3.8632519999999997	4.4524099999999995	nan	20.143	nan	5.10559
OG0000575.28	OG0011332.6	OG0004238.6	OG0000710.0	OG0004933.6	OG0000032.252	OG0000007.585	OG0011465.0	OG0005097.2
218.6506	nan	1.384279	9.025097	0.824491	nan	nan	2.8810700000000002	1.9418389999999999
OG0000196.0	OG0004970.0	OG0008468.4	OG0000002.1788	OG0006212.0	OG0005902.0	OG0000035.64	OG0006418.0	OG0000442.2
0.8986194	10.375869999999999	1.733623	nan	nan	68.98995	nan	9.499102	4.111063
OG0000265.0	OG0004977.0	OG0004724.0	OG0007401.0	OG0000139.0	OG0000002.1788	OG0000121.128	OG0000004.846	OG0004848.14
nan	1.559956	20.01022	1.025103	3.153003	nan	3.155518	nan	3.850402
OG0005783.0	OG0000009.921	OG0000486.2	OG0000429.0	OG0007676.5	OG0003732.8	OG0004736.6	OG0000009.1514	OG0000075.0
165.2657	nan	2.731414	4.577324	1.3076530000000002	2.015177	9.361528	1.882125	nan
OG0005414.0	OG0000132.40	OG0000334.9	OG0000045.0	OG0005090.0	OG0000200.0	OG0003993.4	OG0005828.2	OG0006662.0
10.139669999999999	nan	1.265232	nan	1.2160540000000002	1.051104	1.4753180000000001	3.925637	nan
OG0000177.8	OG0006118.4	OG0000710.0	OG0005898.4	OG0000060.0	OG0000002.1788	OG0006474.4	OG0005468.0	OG0010736.0
5.586796	5.469681	9.025097	213.9841	nan	nan	9.43061	92.41956	4.593754
OG0014053.1	OG0003722.24	OG0000039.0	OG0000710.0	OG0006881.2	OG0000192.0	OG0000007.585	OG0003588.2	OG0003726.9
2.2195150000000003	3.7134519999999998	nan	9.025097	2.499926	3.8632519999999997	nan	96.15433	9.280192999999999
OG0009918.2	OG0003205.0	OG0000169.16	OG0000200.0	OG0007195.0	OG0000001.1420	OG0004571.0	OG0012902.0	OG0000127.0
3.4751019999999997	nan	1.320063	1.051104	4.282926	nan	nan	2.790825	nan
OG0000923.0	OG0000035.64	OG0003625.28	OG0007405.0	OG0000334.9	OG0005222.2	OG0000026.45	OG0012684.0	OG0006119.2
1.8671220000000002	nan	3.4825230000000005	2.084795	1.265232	0.8298646000000001	nan	2.475157	5.770617
OG0006656.6	OG0004737.6	OG0007220.2	OG0000007.976	OG0000486.2	OG0006859.2	OG0002711.15	OG0000192.0	OG0000015.773
211.1008	7.181531	2.4973520000000002	nan	2.731414	3.271936	2.772996	3.8632519999999997	nan
OG0003229.0	OG0000039.0	OG0000349.0	OG0000100.1	OG0000074.152	OG0003732.8	OG0004940.0	OG0005670.18	OG0005644.0
1.723337	nan	2.254695	nan	1.598608	2.015177	4.399005000000001	0.6271734999999999	8.578114
OG0000923.0	OG0004998.0	OG0007295.0	OG0000239.0	OG0005212.2	OG0000010.475	OG0005399.4	OG0007182.0	OG0000127.0
1.8671220000000002	0.9261693000000001	nan	nan	2.1819029999999997	nan	1.245981	5.10559	nan
OG0006217.0	OG0000027.457	OG0002284.0	OG0005922.6	OG0005681.2	OG0000139.0	OG0001557.1	OG0000007.585	OG0006866.0
212.1134	nan	5.867358	0.6431428000000001	7.128753	3.153003	21.40628	nan	5.5109379999999994
OG0000334.9	OG0007553.0	OG0000039.0	OG0000121.128	OG0001624.47	OG0000043.242	OG0006151.2	OG0003463.6	OG0003726.9
1.265232	2.734876	nan	3.155518	7.801684	nan	3.4683610000000002	7.624378	9.280192999999999
OG0000486.2	OG0000429.0	OG0003991.2	OG0000100.1	OG0015299.0	OG0008987.2	OG0006416.0	OG0000006.561	OG0006844.0
2.731414	4.577324	1.012053	nan	2.406029	2.368648	nan	nan	3.61439
OG0000923.0	OG0000176.0	OG0005093.2	OG0000139.0	OG0000032.252	OG0010876.2	OG0009935.2	OG0005105.0	OG0005490.6
1.8671220000000002	nan	12.73497	3.153003	nan	1.8555669999999997	1.6649490000000002	19.97309	5.7359919999999995
OG0000018.842	OG0000228.54	OG0002713.0	OG0006370.4	OG0006837.2	OG0000015.773	OG0004840.3	OG0011286.4	OG0000006.561
2.682202	0.515786	2.841877	3.841685	nan	nan	nan	229.8867	nan
OG0005686.0	OG0005941.0	OG0000109.0	OG0012101.2	OG0000011.1	OG0000187.1	OG0007195.0	OG0010546.2	OG0000015.1
3.3007760000000004	2.197591	nan	226.9859	nan	nan	4.282926	2.3310869999999997	nan
OG0012939.0	OG0009980.2	OG0001682.68	OG0000056.0	OG0000047.282	OG0000015.773	OG0000169.16	OG0003732.8	OG0005827.2
2.9353849999999997	2.259506	nan	nan	3.909817	nan	1.320063	2.015177	7.546742999999999
OG0000575.28	OG0003980.9	OG0000127.0	OG0000045.0	OG0006103.0	OG0005650.10	OG0007308.0	OG0005399.4	OG0000442.2
218.6506	7.955531	nan	nan	2.13477	2.730545	4.324808	1.245981	4.111063
OG0000176.0	OG0004329.0	OG0004779.11	OG0000239.0	OG0000710.0	OG0005463.3	OG0000011.1	OG0003731.0	OG0008987.2
nan	0.48329929999999993	214.24	nan	9.025097	5.690017	nan	1.078873	2.368648
OG0007030.0	OG0000176.0	OG0005882.2	OG0000109.0	OG0000192.0	OG0000032.252	OG0004957.0	OG0006563.0	OG0001785.1
3.0656950000000003	nan	3.867064	nan	3.8632519999999997	nan	nan	nan	2.5362560000000003
OG0005305.2	OG0000196.0	OG0002713.0	OG0004724.0	OG0000047.282	OG0009035.2	OG0000116.0	OG0003746.36	OG0000011.866
2.316651	0.8986194	2.841877	20.01022	3.909817	1.9523259999999998	nan	219.612	nan
OG0000177.8	OG0000009.921	OG0000010.64	OG0007738.7	OG0000047.282	OG0003695.0	OG0003568.0	OG0003897.10	OG0014536.2
5.586796	nan	nan	0.5451215	3.909817	1.372678	1.417956	0.04132692	1.368457
OG0004245.1	OG0006572.0	OG0000192.0	OG0000074.152	OG0003726.9	OG0006487.0	OG0000013.2	OG0005473.2	OG0000015.1
97.91944000000001	nan	3.8632519999999997	1.598608	9.280192999999999	0.7109584	nan	9.304514	nan
OG0009969.2	OG0010689.0	OG0000228.54	OG0000007.976	OG0005153.1	OG0004376.0	OG0000035.64	OG0000090.24	OG0003993.4
1.309982	1.364263	0.515786	nan	7.555855	nan	nan	1.567615	1.4753180000000001
OG0006123.2	OG0000228.54	OG0016286.0	OG0009930.0	OG0005137.0	OG0000187.1	OG0000026.45	OG0005399.4	OG0000015.1
5.6090800000000005	0.515786	2.267824	2.693091	92.1703	nan	nan	1.245981	nan
