OG0007216.0	OG0000285.1	OG0006029.0
2.062409	nan	186.6634
OG0005570.0	OG0008625.0	OG0000364.1
26.08632	3.850253	nan
OG0000441.1	OG0000584.0	OG0004208.2
nan	nan	2.564811
OG0005017.1	OG0000044.1	OG0006412.3
3.120132	nan	1.238142
OG0000711.2	OG0003552.0	OG0003610.0
nan	186.043	2.647946
OG0005323.0	OG0005092.2	OG0000130.38
0.45218980000000003	1.861056	nan
OG0005855.0	OG0000257.0	OG0006412.3
1.0554059999999998	nan	1.238142
OG0007620.20	OG0000407.1	OG0005659.6
1.1311799999999999	nan	3.323058
OG0008209.0	OG0004780.0	OG0000230.58
3.5174309999999998	26.10856	nan
OG0005703.0	OG0006393.0	OG0000257.0
nan	2.3376770000000002	nan
OG0002557.50	OG0000257.0	OG0005734.0
1.996773	nan	13.9183
OG0000214.0	OG0012875.0	OG0005852.2
nan	1.1874959999999999	4.227904
OG0004880.18	OG0000261.0	OG0005826.0
13.882710000000001	nan	1.763895
OG0008759.0	OG0000034.305	OG0004865.2
1.663534	nan	2.840195
OG0007163.2	OG0005758.2	OG0000160.4
5.209328	13.975629999999999	nan
OG0005701.4	OG0000092.1	OG0005927.14
2.665883	nan	1.167359
OG0000246.0	OG0006871.4	OG0011295.0
nan	3.9515050000000005	2.3855150000000003
OG0000359.28	OG0004774.1	OG0005491.2
nan	13.94006	3.158199
OG0003989.2	OG0000188.1	OG0008665.0
1.971732	nan	2.5550439999999996
OG0008569.0	OG0000206.0	OG0005956.0
4.322021	nan	13.68505
OG0000276.72	OG0005426.10	OG0010625.0
nan	6.685471000000001	2.453354
OG0006453.1	OG0000183.0	OG0013635.2
2.726789	nan	1.879128
OG0007539.0	OG0010608.0	OG0000257.0
2.57999	4.462955	nan
OG0006003.0	OG0000198.0	OG0004876.0
13.960629999999998	nan	0.6759645000000001
OG0000062.12	OG0005281.1	OG0008176.2
nan	3.804523	3.874603
OG0006268.0	OG0000336.0	OG0003375.2
25.93896	nan	4.098201
OG0011803.0	OG0003835.22	OG0000272.36
1.124254	0.4266874	nan
OG0000302.34	OG0006332.2	OG0002708.0
nan	2.659964	1.0675059999999998
OG0007448.2	OG0000261.0	OG0016262.0
5.355674	nan	2.750059
OG0009852.2	OG0000154.2	OG0006390.0
2.733905	nan	1.81624
OG0000183.0	OG0004622.6	OG0015310.0
nan	0.9983021000000001	2.961231
OG0008570.0	OG0000264.1	OG0014851.2
3.873322	nan	2.75782
OG0000279.0	OG0005049.0	OG0004854.4
nan	3.787029	1.4815120000000002
OG0013058.0	OG0003102.40	OG0000046.1
2.725829	168.0016	nan
OG0007822.0	OG0008992.0	OG0000160.4
10.91375	2.101501	nan
OG0010951.0	OG0000599.0	OG0008570.0
3.522649	nan	3.873322
OG0000785.2	OG0006412.3
nan	1.238142
OG0012178.2	OG0006392.0	OG0000230.58
1.417092	2.337082	nan
OG0000869.2	OG0006038.0	OG0005622.0
nan	185.8343	12.16659
OG0004621.4	OG0000420.0	OG0012267.0
0.980092	nan	1.113998
OG0000261.0	OG0006272.0	OG0007202.0
nan	26.14196	1.6755509999999998
OG0000062.12	OG0006311.0	OG0006867.4
nan	26.18569	nan
OG0005742.0	OG0000018.1	OG0004823.2
182.9907	nan	1.576342
OG0007250.0	OG0000223.2	OG0004854.4
2.225886	nan	1.4815120000000002
OG0002199.2	OG0005091.0	OG0000285.1
25.88694	3.140016	nan
OG0008209.0	OG0006384.2	OG0000088.3
3.5174309999999998	1.499733	nan
OG0006021.0	OG0000711.2	OG0006867.4
14.07078	nan	nan
OG0012981.0	OG0000120.105	OG0002677.13
2.9647360000000003	nan	10.58808
OG0000279.0	OG0005413.12	OG0009868.0
nan	2.528023	4.418386
OG0000869.2	OG0011183.0	OG0004170.0
nan	1.048223	2.197118
OG0000294.0	OG0011346.0	OG0003835.22
nan	2.5520549999999997	0.4266874
OG0000206.0	OG0004620.0	OG0013991.0
nan	nan	nan
OG0000403.25	OG0005691.3	OG0013024.0
nan	3.8636839999999997	1.1032170000000001
OG0000120.105	OG0004459.0	OG0000480.49
nan	0.1231517	1.120806
OG0009019.8	OG0005829.2	OG0000230.58
1.921505	1.226289	nan
OG0006440.2	OG0007223.2	OG0000257.0
6.5883910000000006	0.7244718000000001	nan
OG0000180.0	OG0003745.1	OG0006141.8
nan	nan	4.8726
OG0007539.0	OG0011995.5	OG0000336.0
2.57999	2.66947	nan
OG0003333.28	OG0004823.2	OG0000364.1
26.155929999999998	1.576342	nan
OG0000204.2	OG0008625.0	OG0015008.2
nan	3.850253	1.018556
OG0006015.0	OG0000246.0	OG0004554.6
13.91639	nan	4.610271
OG0002913.0	OG0013733.0	OG0000225.48
3.982528	1.108242	nan
OG0005132.0	OG0000042.314	OG0000005.545
nan	nan	nan
OG0003752.2	OG0006316.0	OG0000125.49
0.7017119	26.16883	nan
OG0000302.34	OG0000012.581	OG0000397.3
nan	1.938866	2.377341
OG0000426.5	OG0007259.2	OG0000147.0
0.34851509999999997	3.84875	nan
OG0000869.2	OG0005696.4	OG0000760.146
nan	2.84135	1.700392
OG0000261.0	OG0006346.0	OG0005622.0
nan	nan	12.16659
OG0000188.1	OG0003835.22	OG0009814.0
nan	0.4266874	2.744402
OG0013059.0	OG0000018.1	OG0005143.4
1.9250180000000001	nan	1.401802
OG0003118.5	OG0006236.0	OG0000125.49
0.215508	26.224040000000002	nan
OG0000420.0	OG0008204.0	OG0007356.0
nan	146.309	4.045864
OG0000225.48	OG0007420.0	OG0006867.4
nan	2.945166	nan
OG0000320.0	OG0008451.4	OG0004242.10
nan	1.069972	1.357797
OG0004785.6	OG0000120.105	OG0005285.0
11.90795	nan	3.349043
OG0006015.0	OG0000246.0	OG0005931.4
13.91639	nan	5.588616
OG0000279.0	OG0010537.0	OG0003171.1
nan	3.199576	0.9959678
OG0000154.2	OG0013056.0	OG0000426.5
nan	2.763317	0.34851509999999997
OG0003846.1	OG0005667.0	OG0000059.133
45.96982	2.358777	nan
OG0007033.0	OG0000034.305	OG0003729.6
185.1552	nan	0.2153482
OG0000785.2	OG0010643.0	OG0007165.4
nan	1.021038	4.250237
OG0005957.0	OG0004025.11	OG0000272.36
14.065320000000002	0.9814245999999999	nan
OG0008569.0	OG0004735.28	OG0000046.1
4.322021	2.329487	nan
OG0000257.0	OG0006388.0	OG0002998.0
nan	0.9466941999999999	26.411690000000004
OG0002557.50	OG0013007.4	OG0000272.36
1.996773	2.28012	nan
OG0000214.0	OG0007164.0	OG0000604.1
nan	nan	0.8411978000000001
OG0006014.0	OG0005477.0	OG0000409.24
26.418590000000002	3.4073559999999996	nan
OG0004007.3	OG0007665.0	OG0000130.38
3.9724440000000003	nan	nan
OG0004503.8	OG0000081.1	OG0008355.0
0.9926476999999999	nan	1.1098290000000002
OG0004049.8	OG0006260.0	OG0000263.57
1.2807549999999999	13.93374	nan
OG0003775.0	OG0006001.0	OG0000001.2899
68.03086	13.79214	nan
OG0005849.2	OG0006784.2	OG0000110.3
4.14424	3.949005	nan
OG0007250.0	OG0000606.2	OG0003072.2
2.225886	nan	2.2862560000000003
OG0000391.20	OG0004285.1	OG0006817.2
nan	13.951220000000001	5.210984
OG0004833.1	OG0004758.4	OG0000785.2
6.6779839999999995	2.832169	nan
OG0007473.0	OG0000785.2	OG0005062.1
nan	nan	3.1374880000000003
OG0006754.6	OG0004204.4	OG0000223.2
28.12927	0.2828716	nan
OG0000359.28	OG0004459.0	OG0000323.172
nan	0.1231517	182.5085
OG0000042.314	OG0003072.2	OG0003628.6
nan	2.2862560000000003	4.4289510000000005
OG0007076.0	OG0003774.0	OG0000147.0
28.30333	65.85455	nan
OG0003851.24	OG0000092.1	OG0004053.9
nan	nan	0.9410370000000001
OG0005553.0	OG0000749.2	OG0003971.6
45.62595	nan	14.62909
OG0008110.0	OG0000359.28	OG0007183.2
2.572517	nan	5.34124
OG0000711.2	OG0010744.4	OG0005477.0
nan	1.218304	3.4073559999999996
OG0004016.0	OG0013733.0	OG0000407.1
19.83759	1.108242	nan
OG0000263.57	OG0004459.0	OG0007726.2
nan	0.1231517	nan
OG0002913.0	OG0000034.305	OG0006256.0
3.982528	nan	25.8196
OG0000364.1	OG0007493.0	OG0007978.0
nan	nan	nan
OG0000175.4	OG0005621.0	OG0010764.0
nan	12.97103	1.080437
OG0004016.0	OG0006784.2	OG0000246.0
19.83759	3.949005	nan
OG0008507.1	OG0005426.10	OG0000198.0
2.8362689999999997	6.685471000000001	nan
OG0010166.2	OG0003040.0	OG0000198.0
1.285959	4.024359	nan
OG0000391.20	OG0006410.0	OG0002401.1
nan	4.053971	10.715160000000001
OG0000750.0	OG0009203.0	OG0005852.2
nan	1.694627	4.227904
OG0000214.0	OG0008625.0	OG0008321.0
nan	3.850253	188.2433
OG0000711.2	OG0012206.0	OG0006412.3
nan	1.02541	1.238142
OG0003602.0	OG0007072.0	OG0000257.0
nan	4.049892	nan
OG0004856.1	OG0000263.57	OG0003358.3
0.7222969	nan	0.11851410000000001
OG0012209.0	OG0007187.0	OG0000002.763
0.6833615	3.9188419999999997	nan
OG0000420.0	OG0006030.0	OG0000066.1
nan	13.99247	12.73732
OG0000290.0	OG0004759.3	OG0006546.0
nan	2.8562279999999998	4.251530000000001
OG0007731.0	OG0000001.2899	OG0005852.2
2.842474	nan	4.227904
OG0009006.0	OG0005923.1	OG0000001.2899
1.7071479999999999	3.337966	nan
OG0000204.2	OG0008938.0	OG0004554.6
nan	0.7285252	4.610271
OG0000044.1	OG0004492.8	OG0005288.0
nan	2.726377	2.019371
OG0004241.1	OG0006283.0	OG0000002.763
1.6685029999999998	189.3774	nan
OG0003118.5	OG0006731.0	OG0000120.105
0.215508	26.157339999999998	nan
OG0011159.0	OG0000018.1	OG0004854.4
54.76209	nan	1.4815120000000002
OG0000359.28	OG0011470.0	OG0007822.0
nan	2.060324	10.91375
OG0005501.1	OG0000711.2	OG0003545.0
1.9751	nan	188.4324
OG0007539.0	OG0014609.0	OG0000002.763
2.57999	0.8536069	nan
OG0000584.0	OG0008128.0	OG0007165.4
nan	4.047225	4.250237
OG0003774.0	OG0006215.0	OG0000088.3
