nan	0.029964799999999996	0.184944	1e-07	1e-07
OG0002050.0	OG0000347.80	OG0001142.24	OG0007932.0	OG0000006.561
1e-07	0.0250928	1e-07	nan	0.14416700000000002
OG0010628.2	OG0000002.1788	OG0001455.24	OG0000909.26	OG0000518.24
nan	0.184944	0.0638838	0.0309653	1e-07
OG0000002.1788	OG0001431.24	OG0018140.2	OG0001801.0	OG0001249.1
0.184944	1e-07	nan	0.03529790000000001	1e-07
OG0002130.0	OG0000460.47	OG0016814.0	OG0000700.36	OG0000032.252
1e-07	0.0320239	nan	0.0442748	0.0885307
OG0000007.976	OG0001043.2	OG0001297.24	OG0001859.0	OG0016288.4
0.237788	0.017406900000000003	1e-07	1e-07	nan
OG0002102.0	OG0016916.0	OG0001247.24	OG0001540.26	OG0000018.289
1e-07	nan	1e-07	1e-07	0.182524
OG0013928.0	OG0002102.0	OG0002244.0	OG0002013.0	OG0000006.561
nan	1e-07	1e-07	1e-07	0.14416700000000002
OG0010089.0	OG0001445.24	OG0002252.0	OG0001190.24	OG0000038.0
nan	0.12746	1e-07	0.017393900000000004	0.173468
OG0002067.0	OG0000987.19	OG0001803.6	OG0010802.0	OG0000012.918
1e-07	0.181812	0.000531476	nan	0.148813
OG0000007.976	OG0001194.24	OG0014802.1	OG0002077.0	OG0000700.36
0.237788	1e-07	nan	1e-07	0.0442748
OG0001292.1	OG0001512.12	OG0001397.24	OG0016983.0	OG0000056.0
0.022981099999999997	1e-07	1e-07	nan	0.188898
OG0000011.1	OG0002060.0	OG0007918.0	OG0001364.24	OG0001379.1
0.190581	1e-07	nan	0.0171202	1e-07
OG0001435.1	OG0016127.4	OG0000101.90	OG0000038.0	OG0000976.24
1e-07	nan	1e-07	0.173468	0.04371269999999999
OG0001855.4	OG0001553.14	OG0000026.45	OG0020641.0	OG0002233.0
0.0248665	0.0392245	0.295412	nan	1e-07
OG0001071.1	OG0000011.1	OG0001303.26	OG0001353.24	OG0014675.4
0.0163149	0.190581	1e-07	1e-07	nan
OG0020616.0	OG0002225.0	OG0001963.0	OG0000001.1420	OG0000339.0
nan	0.0173338	1e-07	0.188539	0.0251382
OG0015777.0	OG0001764.0	OG0000038.0	OG0001865.0	OG0001092.1
nan	1e-07	0.173468	1e-07	0.014421999999999999
OG0000000.626	OG0000367.3	OG0000894.25	OG0000001.1420	OG0011934.2
0.0633456	1e-07	0.0210433	0.188539	nan
OG0001661.0	OG0002123.0	OG0015368.2	OG0001457.24	OG0000082.1
1e-07	1e-07	nan	0.0171474	0.152756
OG0001772.0	OG0001667.0	OG0000026.45	OG0002097.0	OG0000007.338
1e-07	0.0345415	0.295412	1e-07	nan
OG0000054.0	OG0001855.4	OG0000588.0	OG0000767.24	OG0016979.0
0.124571	0.0248665	1e-07	0.026171800000000002	nan
OG0000007.976	OG0001562.24	OG0017147.0	OG0001235.24	OG0001674.0
0.237788	1e-07	nan	1e-07	0.10119700000000001
OG0001961.2	OG0001418.30	OG0010969.0	OG0000032.252	OG0001511.22
0.05297280000000001	0.053954300000000004	nan	0.0885307	0.0171306
