OG0000007.976	OG0011584.2	OG0001090.26	OG0002334.0	OG0000901.0
nan	-0.10948110000000001	nan	nan	nan
OG0006878.0	OG0001933.0	OG0000685.33	OG0000082.1	OG0001050.0
1.558406	nan	nan	nan	nan
OG0001330.24	OG0010953.4	OG0001947.0	OG0002090.0	OG0000006.561
nan	-1.346458	nan	nan	nan
OG0001360.24	OG0000011.1	OG0007933.0	OG0001277.24	OG0000369.1
nan	nan	-1.248414	nan	nan
OG0000010.475	OG0017987.0	OG0000902.24	OG0001260.24	OG0001849.0
nan	-1.6840849999999998	nan	nan	nan
OG0000002.1788	OG0020494.0	OG0002123.0	OG0002019.0	OG0000896.1
nan	-1.323625	nan	nan	nan
OG0001810.0	OG0000987.19	OG0001512.12	OG0000012.918	OG0010979.0
nan	nan	nan	nan	-1.307864
OG0000948.24	OG0001247.24	OG0002086.0	OG0000082.1	OG0007626.0
nan	nan	nan	nan	-1.196293
OG0000769.0	OG0001275.26	OG0001298.24	OG0000018.289	OG0007931.1
nan	nan	nan	nan	-1.176085
OG0001542.3	OG0000547.0	OG0001145.3	OG0000038.0	OG0008712.0
nan	nan	nan	nan	-1.253348
OG0000007.976	OG0014555.2	OG0001460.24	OG0002231.0	OG0001584.0
nan	-1.582985	nan	nan	nan
OG0000945.1	OG0014808.4	OG0002106.0	OG0000738.19	OG0000006.561
nan	-1.591237	nan	nan	nan
OG0000832.1	OG0002077.0	OG0001132.24	OG0000082.1	OG0000706.25
-0.6724039	nan	nan	nan	nan
OG0000627.52	OG0001870.2	OG0000001.1420	OG0000757.29	OG0001160.24
nan	nan	nan	0.9007791999999999	nan
OG0015363.2	OG0001228.1	OG0002163.0	OG0000360.67	OG0000001.1420
1.3990989999999999	nan	nan	nan	nan
OG0002088.0	OG0001666.14	OG0016752.0	OG0002319.0	OG0000012.918
nan	nan	0.3780179	nan	nan
OG0001301.24	OG0000010.475	OG0000929.1	OG0007932.0	OG0000900.25
nan	nan	nan	-1.194472	nan
OG0001996.0	OG0001256.24	OG0008990.2	OG0001068.1	OG0000018.289
nan	nan	0.2455906	nan	nan
OG0001264.24	OG0000026.45	OG0011132.2	OG0000378.2	OG0002065.0
nan	nan	-1.3175	nan	nan
OG0001961.2	OG0016177.4	OG0002080.0	OG0000082.1	OG0001100.24
nan	-1.582214	nan	nan	nan
OG0000627.52	OG0001157.1	OG0000038.0	OG0002334.0	OG0014659.1
nan	nan	nan	nan	-1.657882
OG0002006.0	OG0000378.2	OG0007008.1	OG0000006.561	OG0002052.0
nan	nan	-1.277264	nan	nan
OG0018050.0	OG0002078.0	OG0000834.30	OG0001480.22	OG0000018.289
-1.5458290000000001	nan	nan	nan	nan
OG0001455.24	OG0002065.0	OG0008224.0	OG0000056.0	OG0001320.26
nan	nan	-0.4904261	nan	nan
OG0001228.1	OG0000002.1788	OG0000676.120	OG0000367.3	OG0000755.4
nan	nan	0.8348055	nan	nan
OG0014752.4	OG0000018.289	OG0001073.24	OG0000803.36	OG0002009.0
-1.716762	nan	nan	nan	nan
OG0000054.0	OG0001735.3	OG0000592.34	OG0004634.3	OG0001273.24
nan	nan	nan	-1.2719200000000002	nan
OG0001401.24	OG0001292.1	OG0000242.29	OG0000082.1	OG0018522.0
nan	nan	nan	nan	0.8830902
OG0001453.1	OG0005637.0	OG0000512.25	OG0001097.24	OG0000082.1
nan	1.286249	nan	nan	nan
OG0001003.24	OG0000000.3448	OG0000941.24	OG0001394.24	OG0000056.0
nan	0.11712719999999999	nan	nan	nan
OG0001863.0	OG0000002.1788	OG0001313.24	OG0007346.4	OG0001321.26
nan	nan	nan	-1.295073	nan
OG0001303.26	OG0000283.91	OG0001468.24	OG0000977.1	OG0000082.1
nan	-1.616834	nan	nan	nan
