OG0005237.0	OG0010513.2	OG0001032.24	OG0015254.6	OG0015224.0	OG0000429.0	OG0045873.0	OG0000860.24	OG0005849.2	OG0002408.0	OG0004061.2	OG0000318.0	OG0005213.22	OG0009038.2	OG0000002.1788	OG0024638.0	OG0005169.0	OG0002083.0	OG0000180.0	OG0000442.2	OG0000082.1	OG0004814.0	OG0043965.0	OG0000018.1	OG0002882.0	OG0007098.2	OG0006739.0	OG0000001.425	OG0002270.30	OG0002136.0	OG0000933.24
-0.4558126	-0.5380384	nan	-1.5609979999999999	-0.6899811	-1.32069	-5.498714	nan	-0.4471478	0.14543050000000002	0.3040585	0.05866991	-0.5823533000000001	-0.6396545	nan	-1.740996	0.5017752000000001	nan	nan	-0.08343949	nan	-0.8765949000000001	-0.8345773000000001	nan	-0.10240830000000001	0.2789342	-1.166159	nan	-1.249725	nan	nan
OG0000011.866	OG0006715.0	OG0000010.475	OG0004606.1	OG0046861.0	OG0000429.0	OG0007790.0	OG0003161.14	OG0002729.16	OG0005162.0	OG0017997.4	OG0001239.26	OG0001265.24	OG0000034.305	OG0006494.0	OG0001096.1	OG0000828.16	OG0005900.4	OG0013498.0	OG0000621.39	OG0000290.0	OG0004016.0	OG0000310.18	OG0030000.0	OG0002862.0	OG0004814.0	OG0000035.64	OG0003890.6	OG0006118.4	OG0006999.0	OG0000074.152
nan	1.118076	nan	-0.7662175	-4.738637000000001	-1.32069	0.005659595999999999	-0.49403980000000003	0.1892239	0.4528276	-0.6150966999999999	nan	nan	nan	-1.125233	nan	nan	0.9575969000000001	0.6466905	nan	nan	-0.31809990000000005	0.8435045	1.471634	0.27922379999999997	-0.8765949000000001	nan	-0.02401666	-0.8489833000000001	-0.33013309999999996	nan
OG0005885.2	OG0007022.0	OG0002615.8	OG0005281.1	OG0001823.24	OG0000429.0	OG0006873.3	OG0007316.13	OG0001812.2	OG0014984.0	OG0010677.0	OG0044987.0	OG0001608.24	OG0000132.40	OG0006125.2	OG0000054.0	OG0001557.1	OG0002218.0	OG0008890.18	OG0000018.842	OG0007676.5	OG0056681.0	OG0000378.2	OG0001776.0	OG0001835.21	OG0000180.0	OG0000428.54	OG0000599.0	OG0000007.976	OG0000779.1	OG0005827.2
-1.111113	0.7780119000000001	-0.5787916	-0.30805970000000005	nan	-1.32069	-0.6185624	-1.626309	nan	1.207727	-1.011685	-5.119211	0.35190879999999997	nan	0.21629970000000004	nan	-0.8487799000000001	nan	-1.693964	0.1923812	0.4830882000000001	1.71665	nan	0.1377817	-0.10785619999999999	nan	nan	nan	nan	-1.211077	-0.3037585
OG0007840.0	OG0006850.0	OG0014059.0	OG0002487.0	OG0020313.0	OG0001151.26	OG0005093.2	OG0003695.0	OG0000364.1	OG0000429.0	OG0014097.5	OG0022929.0	OG0000299.1	OG0000350.8	OG0004951.0	OG0008196.2	OG0005569.4	OG0002621.3	OG0000075.0	OG0004721.2	OG0016054.3	OG0000285.1	OG0001229.1	OG0000556.30	OG0018084.0	OG0006859.2	OG0000074.152	OG0000006.561	OG0000815.24	OG0000012.918	OG0008193.4
0.08999715	-1.0811870000000001	-0.3322176	-0.46319	-1.672407	nan	-0.2157826	0.3392493	nan	-1.32069	0.953414	3.3634269999999997	nan	1.0842479999999999	-0.2614051	0.1076803	-1.032409	-0.9363035	nan	-0.7836289000000001	-1.280656	nan	nan	nan	0.5660172	-0.38719570000000003	nan	nan	nan	nan	-0.08202778
OG0003370.4	OG0012271.0	OG0000109.0	OG0016942.0	OG0000018.289	OG0022273.0	OG0011497.1	OG0000336.0	OG0000132.40	OG0002444.1	OG0000015.662	OG0001753.20	OG0000056.0	OG0000867.24	OG0000139.0	OG0034681.0	OG0012904.0	OG0000206.0	OG0000074.1	OG0016421.2	OG0001766.6	OG0005222.2	OG0006122.0	OG0056538.0	OG0009039.2	OG0002106.0	OG0006127.2	OG0006139.0	OG0001512.12	OG0000112.0	OG0004203.0
0.2639558	-0.05401558	0.7297899	0.07371529	nan	1.545083	-0.3395228	nan	nan	-0.42259589999999997	0.3390003	0.2510887	nan	nan	-0.1087079	1.225937	-0.13477879999999998	nan	nan	0.47081890000000004	nan	0.2179585	-0.46579259999999995	1.578154	-1.001252	nan	0.6280800999999999	-1.100327	nan	nan	0.40511759999999997
OG0000245.24	OG0000011.866	OG0001018.1	OG0000749.2	OG0006000.0	OG0000801.24	OG0004599.4	OG0005501.1	OG0044542.0	OG0017220.1	OG0011550.1	OG0003924.0	OG0004678.12	OG0000062.12	OG0001020.31	OG0005750.0	OG0000001.1420	OG0008290.0	OG0005050.1	OG0010717.0	OG0002054.0	OG0006028.0	OG0000318.0	OG0002121.0	OG0000047.282	OG0005801.2	OG0000683.0	OG0002514.2	OG0005460.0	OG0000105.0	OG0002211.0
