OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
1.7943224956084913	4.6892493121695615	3.772787524304908	0.08140820353884745	4.720647495603445	3.119967498940821	5.466958415665114	7.210301562029272	nan	-13.287712379549449	3.7824186288571395	5.379636474459374	1.822905002264777	8.263328397694044	0.9918576119596103	4.968316237079377	3.414291996955868	1.9395025640621695	0.6970345351301628	0.0747948769887755	5.769056814853258	1.559373369532953	nan	1.43823525639384	0.28733164934433725	5.223674240054552	2.5744912011928935	1.0643197765533052	8.004067552222748	0.6899303813489178	7.845915216730726
OG0001701.8	OG0004304.0	OG0000100.1	OG0017771.0	OG0000349.0	OG0001823.24	OG0000018.289	OG0001829.22	OG0000183.0	OG0001296.24	OG0000539.1	OG0000350.8	OG0004239.0	OG0045636.0	OG0001996.0	OG0007785.0	OG0013573.4	OG0005097.2	OG0044033.0	OG0000923.0	OG0000409.24	OG0000048.122	OG0002971.0	OG0006546.0	OG0009077.4	OG0005808.1	OG0020398.0	OG0006799.0	OG0000006.561	OG0003169.0	OG0005034.12
3.9793680567501655	2.4278967173782875	8.14818925314384	0.215901801897554	5.9424934351629055	4.249390717438137	7.430654892372739	2.9950314030837824	7.344406464305546	0.15221588905303501	3.3849490884058686	5.379636474459374	1.8456137109677115	nan	1.35657757737802	4.646289438127665	0.3391291769131419	3.4742955303628493	nan	5.99960570819971	6.749269192269255	7.057372382780267	3.4151345111515248	1.8275039144737275	2.0094782875487383	2.787841170759746	1.564508378702405	3.532277579027875	8.067772562533877	1.4547796692522155	2.045818000133052
OG0002761.0	OG0014849.0	OG0000109.0	OG0004961.2	OG0027675.0	OG0000279.0	OG0000265.0	OG0010125.0	OG0008128.0	OG0001550.0	OG0010995.2	OG0017155.5	OG0000318.0	OG0000011.1	OG0003329.0	OG0035637.0	OG0002946.0	OG0001347.26	OG0001667.0	OG0000702.24	OG0000884.25	OG0005222.2	OG0000671.12	OG0000431.12	OG0004964.6	OG0002185.6	OG0005687.4	OG0000006.561	OG0000112.0	OG0006611.0	OG0004968.14
5.16540907176038	2.1552315500570827	5.641881173560253	5.997010492049436	1.0684482126244388	5.061278176866655	5.466958415665114	0.9492106882455573	1.976660430790683	5.632921718472829	0.3070206938207659	nan	6.229054930893693	8.483344082882272	1.5555592641908875	nan	1.0999525563035775	2.7602658017861263	3.279854938267695	2.8415850979554422	-0.4394415255736852	-0.4093883422294481	4.010649364051571	5.129817500709197	8.36512351693494	4.186182599807935	4.328641761178257	8.067772562533877	8.235758803334988	2.4152163760069763	3.1493186983716392
OG0000245.24	OG0013512.2	OG0000738.19	OG0001000.24	OG0003012.0	OG0000320.0	OG0015290.0	OG0005465.0	OG0003944.0	OG0000411.0	OG0002222.0	OG0007722.2	OG0003326.0	OG0019023.0	OG0004806.29	OG0007822.0	OG0000060.0	OG0000026.45	OG0005817.0	OG0000905.14	OG0045490.0	OG0034790.0	OG0000483.0	OG0000435.0	OG0002298.4	OG0003890.6	OG0000204.2	OG0002822.4	OG0000779.1	OG0002938.0	OG0000012.918
4.8640862793334785	0.26115625502277856	0.48807468443942875	2.0790793254020783	1.6755013987219742	6.886812060071616	-0.40938485392274737	2.3171341886606283	1.61519498813506	2.8704451897567718	0.18861060479344188	1.9773997732760218	1.3931036332262585	1.5225952061556558	1.494590627356585	2.6150619310143925	6.076864304110854	8.263328397694044	2.6745339613604178	0.8924857032759843	nan	nan	7.52834953367076	8.002306683719008	7.9033063504936205	2.3158220974238537	5.453802951949331	4.957308272133446	4.286492376858685	1.9464358353494693	8.03646171547422
OG0002761.0	OG0004979.3	OG0002080.0	OG0000339.0	OG0002909.2	OG0012357.7	OG0005073.0	OG0000302.34	OG0004396.0	OG0020879.0	OG0000007.585	OG0000009.921	OG0000198.0	OG0004784.0	OG0000187.1	OG0002157.0	OG0001669.0	OG0006103.0	OG0013937.0	OG0005081.18	OG0000467.0	OG0003171.1	OG0000011.1	OG0000923.0	OG0013611.2	OG0048084.0	OG0000310.18	OG0006414.0	OG0035636.0	OG0004470.0	OG0005703.0
5.16540907176038	1.8632412663878537	0.535238386438542	5.5049588826237725	5.360062312594758	-0.5023558395931251	3.9528882289466307	6.700306630115481	1.4558153933971365	3.7625966258929027	7.698342762758861	8.04994317321887	7.802643050025793	3.88421520026521	7.495937788508136	1.5521967792811484	1.8752564188918672	1.4014865277824768	4.112748965760135	1.8204631648731444	5.872621797991057	0.14821025192398535	8.483344082882272	5.99960570819971	2.9632196861891007	nan	5.521260749079113	2.6119393610399997	nan	3.2922742458476195	1.460061672452627
OG0002577.26	OG0001609.10	OG0000349.0	OG0002615.8	OG0000426.5	OG0006882.0	OG0000200.0	OG0000042.314	OG0001062.24	OG0000637.23	OG0000661.3	OG0044939.0	OG0038159.0	OG0006211.0	OG0003647.3	OG0013539.0	OG0001239.26	OG0004494.1	OG0005430.1	OG0001344.0	OG0000074.1	OG0011422.0	OG0000192.0	OG0012483.0	OG0000431.12	OG0000015.773	OG0000007.976	OG0004433.4	OG0005899.0	OG0003385.20	OG0000045.0
3.3185396432110594	4.692769302841305	5.9424934351629055	4.67487255094936	7.978699428110517	1.6246336154011467	5.471757988380096	5.884601013464694	-1.4492725833937583	1.1834161493364004	7.396926333158043	nan	nan	-0.5652435014162628	1.5529162109421213	0.5226727910650268	0.42753309756976376	2.7787322341771983	1.953868338546423	0.8486204813890524	4.243812749123138	2.419027462844044	7.670988632542079	1.9075168877229007	5.129817500709197	8.790301108590631	8.004067552222748	1.5622725560135855	2.1682654031387685	2.034763704010211	8.27352802615075
OG0001046.24	OG0008519.0	OG0008510.8	OG0043592.0	OG0001628.0	OG0000349.0	OG0044053.0	OG0003661.0	OG0000142.14	OG0005737.2	OG0006104.0	OG0003205.0	OG0023158.0	OG0000015.1	OG0018394.0	OG0009983.2	OG0001239.26	OG0006474.4	OG0005273.11	OG0003974.4	OG0008865.1	OG0000617.25	OG0002158.0	OG0000088.3	OG0002869.0	OG0002195.39	OG0002335.4	OG0000263.57	OG0000074.152	OG0000045.0	OG0000012.918
