OG0000015.1	OG0003686.4	OG0007429.0	OG0001575.2	OG0000421.80	OG0012106.0	OG0003731.0	OG0000486.2	OG0007145.0	OG0000537.8	OG0004744.2	OG0000350.8	OG0000779.1	OG0000145.16	OG0003327.0	OG0001608.24	OG0000391.20	OG0000002.1788	OG0000239.0
nan	14.968770000000001	3.1463740000000002	2.646966	nan	2.427693	1.078873	2.731414	2.593683	nan	1.346381	1.404703	14.02145	135.9556	0.46590420000000005	0.7927951	nan	nan	nan
OG0000011.866	OG0000119.0	OG0000976.24	OG0003745.1	OG0005239.0	OG0000638.38	OG0000109.0	OG0004975.0	OG0010686.0	OG0007401.0	OG0003826.6	OG0000343.0	OG0000746.0	OG0002791.5	OG0000350.8	OG0000805.29	OG0011155.4	OG0000302.34	OG0006461.4
nan	nan	nan	nan	3.065833	nan	nan	9.483305999999999	4.58937	1.025103	8.027822	4.3776980000000005	54.536	22.29289	1.404703	5.034165	1.181582	nan	5.0453589999999995
OG0000139.0	OG0003494.6	OG0000748.0	OG0000559.30	OG0000923.0	OG0005685.0	OG0003623.8	OG0003535.14	OG0012533.6	OG0000749.2	OG0002791.5	OG0007835.4	OG0006082.0	OG0000265.0	OG0009123.2	OG0004046.0	OG0000012.918	OG0001435.1	OG0000239.0
3.153003	13.329820000000002	2.5485189999999998	nan	1.8671220000000002	nan	6.196149	0.4202143	1.177991	nan	22.29289	1.5290489999999999	5.59743	nan	1.824945	0.6097945	nan	nan	nan
OG0002008.0	OG0002511.6	OG0008932.0	OG0000815.24	OG0000018.289	OG0004473.2	OG0004611.1	OG0004836.2	OG0000923.0	OG0002882.0	OG0000105.0	OG0007777.2	OG0006547.0	OG0000160.4	OG0002869.0	OG0000196.0	OG0001776.0	OG0000589.0	OG0000239.0
nan	1.2631459999999999	1.6804860000000001	nan	nan	5.219119999999999	nan	9.50084	1.8671220000000002	3.078568	nan	nan	217.9556	nan	10.21038	0.8986194	nan	3.1513259999999996	nan
OG0005940.0	OG0005135.4	OG0005468.0	OG0008895.6	OG0001626.24	OG0000043.242	OG0000829.5	OG0000350.8	OG0003197.4	OG0000245.24	OG0000228.54	OG0007725.0	OG0004379.8	OG0015311.0	OG0005827.2	OG0001892.0	OG0000147.0	OG0000002.1788	OG0002922.0
2.1774419999999997	1.257374	92.41956	1.0994389999999998	3.683762	nan	nan	1.404703	20.78047	nan	0.515786	4.3362940000000005	1.6775950000000002	1.973234	7.546742999999999	nan	nan	nan	2.222414
OG0000018.842	OG0000575.28	OG0002399.4	OG0001557.1	OG0003012.0	OG0004460.9	OG0000230.58	OG0002778.0	OG0003329.0	OG0003695.0	OG0001951.0	OG0000007.585	OG0005210.0	OG0001415.1	OG0002752.1	OG0005990.0	OG0000054.0	OG0003068.0	OG0012143.2
2.682202	218.6506	3.46631	21.40628	145.5985	2.468181	nan	13.84489	1.600409	1.372678	nan	nan	2.748398	nan	1.6424470000000002	26.283179999999998	nan	0.6497236	230.9278
OG0005137.0	OG0000139.0	OG0007208.0	OG0001557.1	OG0005640.2	OG0001998.0	OG0001620.0	OG0007101.0	OG0000009.921	OG0003251.1	OG0000121.14	OG0004100.0	OG0002752.1	OG0001553.14	OG0000060.0	OG0007127.0	OG0000256.24	OG0005524.6	OG0000245.24
92.1703	3.153003	5.843355	21.40628	0.24367039999999998	nan	2.727039	2.60652	nan	5.178756	2.486589	4.904736	1.6424470000000002	nan	nan	1.0815059999999999	nan	216.6561	nan
OG0000045.0	OG0005530.6	OG0003098.12	OG0000139.0	OG0004369.0	OG0006855.18	OG0000751.0	OG0001283.1	OG0000336.0	OG0004571.0	OG0005663.12	OG0004737.6	OG0002286.10	OG0004141.18	OG0000075.0	OG0002863.0	OG0000710.0	OG0011292.4	OG0000239.0
nan	1.027084	0.5890941	3.153003	4.540732	0.5447579	nan	nan	nan	nan	5.036853	7.181531	3.957586	0.5657934	nan	nan	9.025097	nan	nan
OG0000015.773	OG0005141.0	OG0003338.0	OG0005077.4	OG0000878.5	OG0000074.152	OG0001567.1	OG0000187.1	OG0000343.0	OG0000175.4	OG0000841.0	OG0009977.0	OG0007351.6	OG0000078.263	OG0013635.2	OG0005939.0	OG0004693.0	OG0005822.2	OG0000039.0
nan	2.061099	0.7496751	10.31177	2.720946	1.598608	nan	nan	4.3776980000000005	nan	2.026442	1.811335	221.5799	nan	1.879128	2.2197810000000002	9.692629	3.2097130000000003	nan
OG0003987.6	OG0004376.0	OG0003977.1	OG0000646.28	OG0000006.561	OG0000310.18	OG0006047.8	OG0010675.4	OG0000132.40	OG0004244.2	OG0000746.0	OG0002060.0	OG0000480.25	OG0000112.0	OG0000047.282	OG0002863.0	OG0001892.0	OG0002444.1	OG0004054.20
13.15957	nan	1.692125	nan	nan	nan	nan	1.055401	nan	nan	54.536	nan	2.460228	0.9729732	3.909817	nan	nan	3.9031870000000004	0.8272409
OG0000018.842	OG0003521.2	OG0005093.2	OG0002485.15	OG0003983.0	OG0006309.0	OG0001165.26	OG0005445.3	OG0000242.29	OG0014619.0	OG0000486.2	OG0001701.8	OG0000169.16	OG0002752.1	OG0005652.0	OG0000035.64	OG0000027.457	OG0006866.0	OG0000290.0
2.682202	21.496170000000003	12.73497	1.593847	0.9902593000000001	26.21452	nan	2.8834880000000003	nan	1.489522	2.731414	nan	1.320063	1.6424470000000002	3.927219	nan	nan	5.5109379999999994	nan
OG0006023.0	OG0000007.3	OG0000583.0	OG0004183.0	OG0000272.36	OG0003829.0	OG0003514.0	OG0000349.0	OG0001806.0	OG0006395.0	OG0010692.0	OG0004819.4	OG0004678.12	OG0001659.0	OG0001540.26	OG0000710.0	OG0006737.2	OG0000026.45	OG0000245.24
26.369020000000003	nan	nan	14.53775	nan	74.5496	4.385952	2.254695	1.499707	2.411	4.513218	10.4156	12.362639999999999	3.6868529999999997	nan	9.025097	215.774	nan	nan
OG0007832.0	OG0000294.0	OG0000139.0	OG0001575.2	OG0008449.4	OG0000109.0	OG0003866.0	OG0009980.2	OG0000242.29	OG0000746.0	OG0000026.45	OG0004744.2	OG0000007.585	OG0012663.4	OG0000112.0	OG0002971.0	OG0002044.0	OG0006135.0	OG0004054.20
1.637533	nan	3.153003	2.646966	0.7119124	nan	8.017149	2.259506	nan	54.536	nan	1.346381	nan	1.1724729999999999	0.9729732	0.9975111999999999	nan	3.5806690000000003	0.8272409
OG0000011.866	OG0000307.20	OG0000048.382	OG0006055.0	OG0001778.24	OG0000187.1	OG0000343.0	OG0004935.0	OG0000746.0	OG0006117.2	OG0000269.0	OG0001415.1	OG0004494.1	OG0002572.0	OG0000042.314	OG0003735.2	OG0008125.0	OG0010621.0
nan	0.5161384	57.28925	nan	nan	nan	4.3776980000000005	10.46022	54.536	5.270464	nan	nan	nan	1.468732	nan	0.1228549	2.044234	2.565455
