OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
OG0005479.0	OG0001409.1	OG0002260.4	OG0028958.0	OG0004183.0	OG0004580.6	OG0000343.0	OG0000451.0	OG0000200.0	OG0000246.0	OG0000349.0	OG0001785.1	OG0021227.0	OG0005438.0	OG0005184.0	OG0000699.1	OG0007825.2	OG0006513.0	OG0006820.0	OG0000102.0	OG0000039.0
2.909053749351501	-0.8318933396625754	4.161372372514537	nan	2.4195307588392483	1.6420098758631165	5.769056814853258	5.058788663458043	5.471757988380096	5.033241909050571	5.9424934351629055	4.266670217253554	2.1074614526838507	3.4500814925569196	1.417221119456437	3.8891149624074193	2.530777734592264	0.2334594999993396	4.911855662943145	7.869657240625032	8.398778004084955
OG0012767.2	OG0000483.0	OG0000480.64	OG0004326.0	OG0007208.0	OG0000007.3	OG0005315.0	OG0001656.2	OG0005640.2	OG0000032.252	OG0000349.0	OG0000411.0	OG0000779.1	OG0022190.0	OG0000442.2	OG0000042.314	OG0045552.0	OG0004560.0	OG0017937.0	OG0005856.2	OG0010757.0
4.6670484789017825	7.52834953367076	0.2984881146526622	3.0998412343471227	1.1172279436182446	7.8327884278102	2.8911527760762987	4.2743045229806	1.5266216911082928	8.227053962054658	5.9424934351629055	2.8704451897567718	4.286492376858685	2.046277088212941	8.436557772494048	5.884601013464694	nan	3.0115183347087773	2.142721308195342	0.912524041717273	3.380837432815149
OG0001610.50	OG0000575.28	OG0005222.2	OG0001656.2	OG0004565.2	OG0012686.0	OG0000616.40	OG0000486.2	OG0001701.8	OG0004469.6	OG0041632.0	OG0010723.0	OG0000269.0	OG0005892.2	OG0000350.8	OG0000088.3	OG0005184.0	OG0000027.457	OG0016571.1	OG0006625.0	OG0002132.0
4.4714664439670875	7.651671259815025	-0.4093883422294481	4.2743045229806	2.277236889149716	4.283734170262975	7.507108543615876	5.668710873202429	3.9793680567501655	3.66545367766573	nan	0.9780932625924036	7.202471726203116	2.723720801307717	5.379636474459374	8.15448337531843	1.417221119456437	7.0328924937553605	1.1775220030545315	1.4124319369429132	-0.1528854288551585
OG0000015.1	OG0003686.4	OG0007429.0	OG0011774.16	OG0001575.2	OG0000421.80	OG0012106.0	OG0003731.0	OG0000486.2	OG0007145.0	OG0000537.8	OG0004744.2	OG0000350.8	OG0000779.1	OG0000145.16	OG0003327.0	OG0021336.0	OG0001608.24	OG0000391.20	OG0000002.1788	OG0000239.0
8.807818666953695	4.1795730873324795	1.1563370416222292	nan	3.408194990433725	-1.1258447728097394	1.2521744711377136	2.0580609628265734	5.668710873202429	2.688962652863538	5.2668016968587255	2.729552668573878	5.379636474459374	4.286492376858685	2.160237053599117	4.449379625179159	1.1033379642245271	5.160046151029784	7.705235649196371	8.30265560711077	7.714315561947743
OG0000011.866	OG0000119.0	OG0000976.24	OG0022594.0	OG0003745.1	OG0005239.0	OG0000638.38	OG0000109.0	OG0004975.0	OG0010686.0	OG0007401.0	OG0003826.6	OG0000343.0	OG0000746.0	OG0002791.5	OG0000350.8	OG0000805.29	OG0011155.4	OG0000302.34	OG0006461.4	OG0018187.0
8.379899695700772	6.587403802095375	1.1103349107360798	nan	0.14473502008674	2.5815513466354183	3.7227749246644652	5.641881173560253	2.0690738516158	2.542102904699597	3.2337389906566165	5.817045368957584	5.769056814853258	4.748838098792528	2.4243213882624977	5.379636474459374	4.673481973323421	1.8948057401258735	6.700306630115481	2.378834792237001	0.8722999722755714
