OG0010762.2	OG0002449.21	OG0005448.0	OG0000892.1	OG0005886.2	OG0017345.1	OG0002718.4	OG0000561.24	OG0000107.44	OG0000294.0	OG0000966.4
nan	nan	nan	1.4548187071899998	nan	nan	1.8872039244749998	0.490673350377	1.083809594677	0.957262250102	1.8030368908245
OG0000014.1	OG0000090.24	OG0001815.3	OG0008507.1	OG0000724.26	OG0003714.0	OG0000589.0	OG0007230.0	OG0056807.0	OG0003181.15	OG0004557.0
1.2154896616745	1.6670249833450002	nan	0.961752159395	1.1325343067409999	1.6920006640290002	1.353246297841	nan	nan	nan	nan
OG0000822.0	OG0000187.1	OG0000044.1	OG0000558.24	OG0001609.10	OG0005133.0	OG0003343.2	OG0013961.0	OG0008491.2	OG0008692.19	OG0002885.12
0.616370428255	1.104774356892	0.615346681423	0.8938180324135	0.657455577929	nan	1.482748542711	nan	nan	nan	nan
OG0002260.4	OG0006459.10	OG0007743.0	OG0000160.4	OG0011533.13	OG0000349.0	OG0004215.0	OG0002514.2	OG0000878.5	OG0001207.24	OG0000124.174
0.820381765379	nan	nan	1.099427925079	nan	0.650094380765	0.891304093021	0.8158683424500001	1.1311875486929999	nan	0.2743525011325
OG0007699.0	OG0002700.0	OG0001604.2	OG0000888.24	OG0001802.47	OG0000350.8	OG0014165.3	OG0003343.2	OG0005276.0	OG0000579.24	OG0000046.1
0.840684784561	1.87673547444	1.9476046018900002	0.9719761367799998	0.9983461238754999	1.579949677197	nan	1.482748542711	nan	0.471751130216	0.9975270271685
OG0001416.0	OG0002674.20	OG0000139.0	OG0005040.3	OG0001091.2	OG0046049.0	OG0000214.0	OG0001730.2	OG0002471.0	OG0005162.0	OG0005908.0
0.7297363871089999	1.133018351608	1.052676666293	nan	nan	nan	1.9815703069650001	1.0886565925360001	0.885541480975	nan	nan
OG0002674.20	OG0000090.24	OG0001471.24	OG0000524.1	OG0003607.0	OG0027548.0	OG0002626.26	OG0010587.0	OG0005086.0	OG0002487.0	OG0000046.1
1.133018351608	1.6670249833450002	nan	0.681067353786	0.816774451065	nan	nan	nan	nan	1.3163189752600002	0.9975270271685
OG0003960.4	OG0000990.0	OG0002821.0	OG0004169.4	OG0005653.0	OG0044930.0	OG0002862.0	OG0000407.1	OG0000973.2	OG0000310.18	OG0008579.6
1.749194131995	2.0244520566315	0.47945052053099996	0.7527432078055001	nan	nan	0.336749741961	0.8788864893005	nan	0.690817528156	nan
OG0000139.0	OG0002353.2	OG0006146.0	OG0024735.0	OG0006346.0	OG0000894.25	OG0009977.0	OG0003689.1	OG0002209.38	OG0000861.24	OG0000198.0
1.052676666293	0.2921448780675	nan	nan	nan	nan	nan	nan	0.675360600917	1.177463838641	1.292262061483
OG0017198.1	OG0000081.1	OG0003540.0	OG0003823.8	OG0002248.0	OG0015302.0	OG0003714.0	OG0001659.0	OG0000581.0	OG0007702.0	OG0000343.0
nan	0.315568430598	1.7656963260510001	nan	nan	nan	1.6920006640290002	1.188013040101	1.4785542333719999	nan	1.078720623239
OG0000112.0	OG0000539.1	OG0003167.0	OG0001351.24	OG0000420.0	OG0002676.20	OG0045854.0	OG0000268.1	OG0006386.0	OG0009815.0	OG0001664.2
1.832745952843	0.6446241994045	nan	nan	1.08290867172	1.5391377886109998	nan	0.43081572715800004	nan	nan	0.771911874214
OG0000677.1	OG0026990.0	OG0000192.0	OG0001849.0	OG0000779.1	OG0010712.0	OG0000188.1	OG0002841.0	OG0002974.24	OG0012675.2	OG0003343.2
nan	nan	1.122150054636	1.6392135457374999	1.0171358428515	nan	1.137251759946	nan	nan	nan	1.482748542711
OG0003925.0	OG0001415.1	OG0026279.0	OG0003825.26	OG0001701.8	OG0007260.0	OG0000196.0	OG0000276.72	OG0002572.0	OG0004024.2	OG0000579.24
0.982017692643	0.9308835464280001	nan	0.688578062995	0.7930616904019999	nan	1.930172420653	0.48693089294749997	1.228746818553	1.4328294587560002	0.471751130216
OG0000901.0	OG0001831.0	OG0005927.14	OG0000866.110	OG0000187.1	OG0004081.1	OG0002442.0	OG0000290.0	OG0005615.0	OG0001659.0	OG0000771.24
2.124600726903	nan	nan	nan	1.104774356892	0.725473847189	0.722798618335	1.4709332882765	nan	1.188013040101	0.8494465925915
OG0000359.28	OG0002109.0	OG0003770.8	OG0003540.0	OG0035667.0	OG0003607.0	OG0002335.4	OG0008981.0	OG0000318.0	OG0000753.0	OG0003307.20
1.1778864089095	nan	nan	1.7656963260510001	nan	0.816774451065	0.499599296458	nan	0.270593866686	0.488940618767	nan
OG0000698.19	OG0001528.16	OG0008417.1	OG0010701.0	OG0000002.763	OG0000196.0	OG0002973.1	OG0013992.0	OG0001835.21	OG0000713.24	OG0001851.13
nan	1.717546208529	nan	nan	1.097809606055	1.930172420653	nan	nan	0.38992402581999996	0.7414955100820001	0.610651744217
