-0.6194921806605541	-1.6597225952337458	-1.518701058452435	nan	-1.4085120616020568	nan	nan	nan	nan	-2.0679388286565756
OG0027394.0	OG0038663.0	OG0005514.0	OG0008362.10	OG0013298.0	OG0008678.1	OG0018843.5	OG0009171.0	OG0016676.4	OG0048869.0
nan	nan	-1.6624601578025762	-1.4839848529963353	nan	-1.8160371651574052	nan	-1.100669665209555	-4.321351132255842	nan
OG0060537.0	OG0013303.11	OG0035678.0	OG0018401.2	OG0027837.0	OG0006977.0	OG0006379.10	OG0004815.0	OG0060405.0	OG0047973.0
nan	nan	nan	nan	nan	-1.865647613376637	-1.4695296746008095	-2.3540217245972155	nan	nan
OG0029996.0	OG0004720.0	OG0022066.0	OG0010701.0	OG0018246.1	OG0045027.0	OG0016098.3	OG0056892.0	OG0002602.6	OG0011588.2
nan	0.46372707198851065	nan	-1.4811627575634883	nan	nan	-3.129102691334971	nan	-1.0613001867606637	nan
OG0003320.8	OG0048963.0	OG0013075.0	OG0020523.0	OG0007901.0	OG0018067.2	OG0056853.0	OG0016890.3	OG0000306.0	OG0060524.0
-0.48559996096338387	nan	nan	-1.9669118306678126	-0.733123527871812	-1.9235777245413976	nan	nan	-0.4398720239187363	nan
OG0041539.0	OG0021370.0	OG0034621.0	OG0028958.0	OG0010073.0	OG0038157.0	OG0005324.1	OG0006055.0	OG0057145.0	OG0001407.24
nan	nan	nan	nan	-1.8868329432672653	nan	-1.781900825629855	-0.9646576192078029	nan	-1.6780719051126376
OG0013644.0	OG0011744.0	OG0000726.25	OG0012247.0	OG0045316.0	OG0008451.4	OG0049123.0	OG0024367.0	OG0015178.8	OG0016241.8
-1.3778192957794075	-1.4355730513622063	-0.48398485299633537	-2.667492554041963	nan	-0.9013109559086716	nan	nan	nan	nan
OG0048137.0	OG0010723.0	OG0045809.0	OG0000412.1	OG0013289.6	OG0001239.26	OG0044717.0	OG0007333.0	OG0006891.4	OG0014746.1
nan	-1.8525630411825191	nan	-0.8300749985576876	nan	-1.1449671027979205	nan	-3.5772503055702884	-1.8799135293274745	-3.3118644115426648
OG0006285.0	OG0015919.4	OG0045255.0	OG0011304.4	OG0017821.6	OG0005536.1	OG0023530.0	OG0001362.22	OG0017428.3	OG0045644.0
-0.7027498788282933	nan	nan	-2.0782590139204995	nan	-0.7221342427651205	nan	-0.889503118082598	nan	nan
OG0048090.0	OG0003657.0	OG0037787.0	OG0001954.0	OG0045327.0	OG0006562.0	OG0002368.0	OG0009076.4	OG0029240.0	OG0007155.6
nan	-2.055291452373373	nan	-0.7485535684414182	nan	-2.024443179176788	-0.7648856796236427	-2.9456377115503107	nan	-1.4223657347326695
OG0060551.0	OG0013485.3	OG0005645.0	OG0002647.6	OG0008252.2	OG0000884.25	OG0034297.0	OG0056883.0	OG0047545.0	OG0000397.3
nan	nan	-1.2498222944069428	-0.9481407011647501	-1.5964050493583346	-1.4158071418902627	nan	nan	nan	-2.1791879227712805
OG0000102.0	OG0053888.0	OG0000186.266	OG0034743.0	OG0022268.0	OG0044399.0	OG0006162.4	OG0010530.0	OG0008748.2	OG0018098.1
-0.012315322433239274	nan	-2.4892405784478306	nan	-2.039784866105864	nan	-1.5838088061047857	-2.864596469402349	-1.9246727492929352	nan
OG0041640.0	OG0002540.1	OG0047008.0	OG0009169.4	OG0007035.0	OG0028284.0	OG0025952.0	OG0012671.4	OG0000836.25	OG0019275.0
nan	-2.9094175236375577	nan	-1.1456053222468994	-1.941198646383814	nan	-2.6583557594698397	-2.1500807813140215	-1.309001920443092	nan
OG0008769.2	OG0009181.4	OG0002598.22	OG0025254.0	OG0008055.1	OG0034796.0	OG0043457.0	OG0041903.0	OG0006196.0	OG0045055.0
-2.37632039170599	-3.4191984556539863	-1.4088950949352212	nan	nan	nan	nan	nan	-0.8354711391186312	nan
OG0044908.0	OG0023378.0	OG0013522.0	OG0047351.0	OG0013474.2	OG0012998.2	OG0003518.0	OG0001415.1	OG0022924.0	OG0027015.0
nan	nan	-1.4441838449383604	nan	-0.9751130006868205	-2.656535323845471	-0.9545570292388329	-0.7062763900950659	nan	nan
OG0007116.0	OG0022440.0	OG0000048.382	OG0024626.0	OG0005651.0	OG0005152.40	OG0004696.0	OG0011078.1	OG0002109.0	OG0020440.0
1.1303378595937155	nan	-0.7607241741174424	nan	-0.7762067837569675	nan	-0.5391002028124681	nan	-0.9748294242650939	-0.5069675818716592
OG0009132.4	OG0016194.2	OG0001281.24	OG0046979.0	OG0014367.8	OG0001578.0	OG0038832.0	OG0020600.0	OG0034307.0	OG0009012.4
-0.9756803208045871	-1.913759724179256	-1.0561911686737453	nan	nan	-0.8748779394301761	nan	-1.822656211718274	nan	nan
OG0053951.0	OG0020308.0	OG0002339.2	OG0044717.0	OG0030109.0	OG0005652.0	OG0041589.0	OG0008776.22	OG0046459.0	OG0000576.0
nan	nan	-1.1022174553385833	nan	nan	-0.8295621314918924	nan	nan	nan	-1.0609991549304867
OG0008627.0	OG0001120.26	OG0000988.1	OG0003983.0	OG0000157.23	OG0034582.0	OG0046352.0	OG0034690.0	OG0038051.0	OG0012254.0
-0.41369161189047277	-1.3057883922321096	-1.5116906642966368	-0.8788519435246895	0.42126370085426706	nan	nan	nan	nan	-1.2792837574788687
OG0014363.2	OG0047148.0	OG0048056.0	OG0006074.0	OG0013996.0	OG0047449.0	OG0013900.0	OG0045012.0	OG0041923.0	OG0014833.0
-1.6077925010310299	nan	nan	-0.7259471159217421	-2.2270164478618955	nan	-1.1112275322575584	nan	nan	-1.720707009302416
OG0046406.0	OG0011268.5	OG0044586.0	OG0000145.265	OG0003906.0	OG0001838.42	OG0012314.14	OG0041614.0	OG0043425.0	OG0024617.0
nan	nan	nan	nan	-1.022097333064992	-0.7604797531018829	nan	nan	nan	-2.7908586021614084
OG0027509.0	OG0024474.0	OG0002473.24	OG0004747.10	OG0002414.22	OG0000931.1	OG0010087.15	OG0034415.0	OG0001209.1	OG0048162.0
-2.6647454347589394	-2.2048980418771755	-1.54877569787331	-1.5708929182195004	nan	-0.9241251330248723	nan	nan	-1.1558554189406567	nan
OG0006930.8	OG0001124.24	OG0010685.0	OG0002680.0	OG0024665.0	OG0011388.0	OG0006080.5	OG0010865.0	OG0035074.0	OG0023088.0
-2.3540217245972155	-1.2368434162587132	-0.8817731862070524	-0.9312604093276949	-3.306145097646435	-2.3090019204430923	-1.911044317691782	-1.3606752108291549	nan	nan
OG0003239.9	OG0007187.0	OG0015214.4	OG0007436.0	OG0013913.5	OG0012085.10	OG0021348.0	OG0001285.1	OG0023424.0	OG0044151.0
-0.7720125412654069	-1.5812163614882615	-2.782893391916608	-1.4449691988177917	-2.396688189399952	nan	nan	-1.8211260418302049	nan	nan
OG0020648.0	OG0007060.8	OG0019514.0	OG0046032.0	OG0007018.0	OG0005719.2	OG0004327.0	OG0005765.0	OG0044436.0	OG0008046.22
-2.013916780335185	-2.5649048483799026	nan	nan	-0.7794223934091009	-1.3375210295767486	-0.13099723532474775	-1.4623560380701153	nan	-1.6510877590058004
OG0000898.1	OG0045129.0	OG0008395.1	OG0003929.0	OG0014315.2	OG0021964.0	OG0043369.0	OG0038890.0	OG0002553.2	OG0006146.0
-1.296544873409439	nan	nan	-0.4677329186267858	-1.4855999609633836	-2.594225422050124	nan	nan	-1.205563338195578	-1.7485535684414182
OG0014510.9	OG0034558.0	OG0019231.0	OG0046204.0	OG0015997.3	OG0013440.5	OG0008594.0	OG0037786.0	OG0015233.0	OG0000698.19
nan	nan	-1.677148875624409	nan	-1.8645964694023487	-2.9029286294560968	-1.8815073741305954	nan	-1.1982618984335427	-1.3947901559188582
OG0044135.0	OG0025868.0	OG0020365.0	OG0005029.0	OG0016828.3	OG0012101.2	OG0015186.2	OG0029028.0	OG0057177.0	OG0028170.0
nan	nan	nan	-0.41215499074572254	nan	-1.6822328614877802	-2.3815733833540693	nan	nan	nan
OG0034505.0	OG0000701.0	OG0027636.0	OG0046323.0	OG0057344.0	OG0002863.0	OG0047255.0	OG0006931.8	OG0000438.1	OG0026698.0
nan	-0.26794792669971085	-1.7893617716198498	nan	nan	-0.24656661207311956	nan	-1.5743258646124194	-1.3190455863542412	nan
OG0000304.234	OG0000315.0	OG0009855.6	OG0047520.0	OG0020319.0	OG0007733.0	OG0023002.0	OG0017157.5	OG0005373.2	OG0046955.0
nan	-0.07142122379239481	-1.4575933541049346	nan	nan	-0.04364591535463163	nan	nan	-1.4691302020685912	nan
OG0028190.0	OG0010819.6	OG0043779.0	OG0008219.0	OG0009860.0	OG0007617.0	OG0004520.2	OG0037789.0	OG0044935.0	OG0008301.3
nan	-2.8008773579863995	nan	-1.5597919249862502	-1.7283352890227661	-1.352178966598703	-1.0005771934627457	nan	nan	-3.0576919438438153
OG0045315.0	OG0041628.0	OG0053855.0	OG0015993.2	OG0015688.5	OG0035569.0	OG0012863.0	OG0006209.0	OG0048174.0	OG0023762.0
nan	nan	nan	nan	nan	nan	nan	-2.0356383367532658	nan	nan
OG0035594.0	OG0016998.2	OG0009089.0	OG0022923.0	OG0027477.0	OG0022854.0	OG0000964.2	OG0000688.0	OG0057098.0	OG0016204.2
nan	-2.2961905334737542	-2.1259506362447746	-0.615287037577954	-0.9126729482025246	nan	-1.5199417307727447	-0.30365000986301266	nan	-2.210229022689942
OG0023754.0	OG0011402.0	OG0013569.4	OG0049058.0	OG0044072.0	OG0016242.5	OG0001658.27	OG0060422.0	OG0018762.6	OG0038816.0
nan	-2.6943212567577124	-1.6661183405319098	nan	nan	nan	-1.2508519328764036	nan	nan	nan
OG0024679.0	OG0044419.0	OG0001091.2	OG0006049.4	OG0016007.4	OG0012327.4	OG0029592.0	OG0017096.1	OG0016049.6	OG0026875.0
nan	nan	-1.8577826381961766	-1.8991568755668882	nan	nan	nan	nan	-2.3936525332754277	nan
OG0004270.24	OG0002959.32	OG0013515.0	OG0019004.5	OG0005935.0	OG0019435.0	OG0002799.0	OG0006651.0	OG0007065.7	OG0046587.0
-1.3280726151852633	-1.2088944295874708	-0.8951266232739817	nan	-0.17673977176655636	-1.3197656737367418	-0.9542774642653994	-1.7759597257820698	nan	nan
OG0002474.0	OG0014849.0	OG0002757.0	OG0009811.0	OG0038810.0	OG0009169.4	OG0020848.0	OG0007483.0	OG0016854.2	OG0013741.9
-1.1995866873612426	-2.0121698234627274	0.0030264828898985854	-1.4077462998850927	nan	-1.1456053222468994	-0.0033220203836296473	-0.8507406345003772	-2.6556259667142674	nan
OG0060436.0	OG0024003.0	OG0027814.0	OG0008067.0	OG0009840.2	OG0011338.3	OG0037960.0	OG0019462.0	OG0000000.361	OG0060526.0
nan	nan	nan	-1.3562361456626577	-1.8023861903089258	-2.389866923543938	nan	-1.798868033092113	-2.409661466820913	nan
OG0018172.3	OG0035593.0	OG0011612.7	OG0056939.0	OG0006530.0	OG0025790.0	OG0012507.1	OG0027558.0	OG0043910.0	OG0007569.0
nan	nan	-2.7769482116315585	nan	-1.6730025354342413	nan	-1.7131188522118386	-2.4422223286050744	nan	-1.5336600120205253
OG0046554.0	OG0000723.1	OG0018870.0	OG0043893.0	OG0017177.3	OG0007116.0	OG0018518.3	OG0003107.0	OG0044192.0	OG0027818.0
nan	-1.6542630048359568	-1.8028894852873039	nan	nan	1.1303378595937155	nan	-0.8442507673220554	nan	nan
OG0044288.0	OG0016672.0	OG0000210.1	OG0022874.0	OG0015480.8	OG0027714.0	OG0009961.0	OG0046166.0	OG0045904.0	OG0003917.6
nan	-0.31545053081615754	nan	nan	nan	nan	-1.8598757760909297	nan	nan	-1.269164437677799
OG0014753.1	OG0007747.5	OG0028985.0	OG0007885.1	OG0007861.0	OG0045117.0	OG0002163.0	OG0007478.0	OG0007390.2	OG0013456.2
-1.8442507673220554	-1.1497606448340905	nan	-1.3606752108291549	-3.2082275957226343	nan	-0.9495331296493381	-0.29176861178449726	nan	nan
OG0054072.0	OG0013114.0	OG0022465.0	OG0000991.0	OG0006822.8	OG0007585.19	OG0003845.0	OG0044471.0	OG0005918.2	OG0001515.28
nan	-2.412731031895675	nan	-0.7415413772820992	-2.148161027150656	-2.7514651638613215	-0.4934996095663838	nan	-1.088960414355713	-1.1939647167637806
OG0046200.0	OG0038129.0	OG0008293.1	OG0007065.9	OG0002027.0	OG0012520.7	OG0027823.0	OG0048140.0	OG0015367.6	OG0006514.0
nan	nan	-2.0788683888148345	nan	-1.0969617298870882	nan	nan	nan	nan	-2.536168320460351
OG0018164.4	OG0010744.4	OG0019285.0	OG0007282.8	OG0034649.0	OG0001048.24	OG0001009.24	OG0007110.20	OG0048002.0	OG0007079.10
nan	-1.333879697404169	nan	-1.22431729826094	nan	-1.2873602020691484	0.3057954614204903	nan	nan	-1.3532843389226457
OG0024797.0	OG0004570.1	OG0008082.0	OG0025857.0	OG0022619.0	OG0006862.8	OG0015954.8	OG0003750.8	OG0027414.0	OG0022776.0
-3.104076998076231	-1.1726687293877394	-0.04736823291803134	nan	nan	-1.582079992188035	nan	-0.8523025563861287	nan	nan
OG0002064.12	OG0009836.1	OG0003846.1	OG0004224.40	OG0017490.4	OG0002818.4	OG0010801.5	OG0011539.14	OG0021990.0	OG0021400.0
-1.1798414652698352	0.22539833734074413	-3.0115879742752116	nan	nan	nan	-1.2149098450052418	nan	nan	nan
OG0038002.0	OG0013642.0	OG0000808.24	OG0030125.0	OG0005838.4	OG0010948.6	OG0005202.0	OG0044963.0	OG0010506.0	OG0003880.0
nan	-0.9442490358815471	-1.4675334171342618	nan	-2.079478021209661	-1.5475099907815495	-1.615287037577954	nan	-0.7086321957146922	-0.6741531017611848
