-1.5576668766702486	-2.131629303260768	-1.5678957765313228	-2.1491205849119286	-2.4973638827975355	-1.941198646383814	-1.831357964441161	-3.03268380973072
OG0000537.8	OG0000006.561	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
-2.0174170530774096	-1.4663369871769107	-3.435338929969181	-2.39744810252834	-2.16747450220749	-2.250165425587271	-2.3989691306511904	-2.217591435072627
OG0001203.24	OG0011159.0	OG0000209.2	OG0014662.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
-2.458386043707783	-2.4900508536956893	-1.6237096166629486	-1.8577826381961766	-2.5538496598709073	-2.3800705758839222	-2.4188898247744506	-2.827256483239813
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0000272.36	OG0000524.1
-2.521183470950585	-1.4663369871769107	-2.005203073308613	-2.5170484866326897	-1.8380478410732577	-1.6380071140780375	-1.810207062179741	-1.7393720918733013
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0004168.24	OG0007187.0
-3.6041913608898803	-2.1140352432460294	-1.386091221203337	-1.357714316940423	-2.4281775931667964	-2.7413001844300973	-2.058292691319033	-2.7055703978906718
OG0004256.2	OG0000032.252	OG0001243.24	OG0010631.0	OG0000711.2	OG0002113.0	OG0000611.0
-1.8272564832398128	-1.542458237592193	-2.2095615718147994	-2.7656213106623855	-2.2674268787048018	-1.8277685311745187	-2.4611638922585346
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0000209.146	OG0000154.2	OG0008258.0
-2.3378856687903387	-1.5407782431771522	-3.196276993225842	-2.2095615718147994	-1.8331560355875092	-2.040971781056306	-1.5864059175908252	-1.387600316571993
OG0001161.24	OG0000088.3	OG0008204.0	OG0007348.0	OG0001502.26	OG0001146.1	OG0000082.1
-2.392137097168765	-1.6936210892890369	-2.0985055449524253	-1.0758240850034457	-3.410428246026254	-2.3459311372709193	-2.3800705758839222
