OG0005703.0	OG0000935.24	OG0000018.1	OG0000010.475	OG0001014.26	OG0002233.0	OG0006851.4	OG0011986.10
nan	nan	nan	nan	nan	nan	5.277598	1.273881
OG0000223.2	OG0011912.1	OG0000010.475	OG0001014.26	OG0000987.19	OG0003989.2	OG0002170.0	OG0007451.0
nan	7.979317999999999	nan	nan	nan	1.971732	nan	nan
OG0000026.45	OG0001915.0	OG0002080.0	OG0003171.1	OG0014643.4	OG0001157.1	OG0010645.2	OG0000204.2
nan	nan	nan	0.9959678	7.948929	nan	nan	nan
OG0009080.2	OG0000294.0	OG0001252.1	OG0005850.4	OG0000038.0	OG0001234.24	OG0006984.0	OG0001938.0
1.30281	nan	nan	nan	nan	nan	220.1624	nan
OG0002088.0	OG0000359.28	OG0000012.918	OG0007526.0	OG0009201.0	OG0000867.24	OG0009881.4	OG0001420.22
nan	nan	nan	5.233937999999999	5.351139	nan	2.549383	nan
OG0000054.0	OG0001379.1	OG0013967.0	OG0005639.0	OG0000261.0	OG0006669.3	OG0002006.0	OG0001337.24
nan	nan	2.1806740000000002	0.9248549	nan	5.394837	nan	nan
OG0000026.45	OG0004608.0	OG0002231.0	OG0000709.10	OG0020482.0	OG0000584.0	OG0001149.24	OG0006332.2
nan	0.8001282	nan	nan	1.29233	nan	nan	2.659964
OG0001846.4	OG0002150.0	OG0000038.0	OG0004504.4	OG0014858.0	OG0001328.24	OG0000290.0	OG0011675.5
nan	nan	nan	0.9984499	1.11886	nan	nan	3.3886010000000004
OG0000944.28	OG0000214.0	OG0001216.24	OG0000011.1	OG0005966.0	OG0014011.2	OG0002100.0	OG0004347.0
nan	nan	nan	nan	13.89955	1.350083	nan	nan
OG0004362.4	OG0001330.24	OG0002308.0	OG0000561.24	OG0001426.2	OG0000007.976	OG0000320.0	OG0000004.816
0.8052608	nan	3.528915	nan	nan	nan	nan	3.152888
OG0007008.1	OG0001936.0	OG0001519.24	OG0000302.34	OG0005696.4	OG0009877.2	OG0000018.289	OG0001491.1
4.598698000000001	nan	nan	nan	2.84135	1.105475	nan	nan
OG0000294.0	OG0000001.2052	OG0020478.0	OG0005617.0	OG0002012.0	OG0002036.0	OG0000082.1	OG0000911.3
nan	4.187387999999999	3.3972660000000006	12.243360000000001	nan	nan	nan	nan
