OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
-3.208894429587471	-2.359934417467107	-2.0034666297197794	-2.297608415691949	-3.4170394247248574	-2.15072126746922	-4.573123403950294	-2.15072126746922	-1.4121549907457225	-1.9845024306046744	-3.3944867021572325	-2.5868392244091862	-2.2162500169928254	-2.006941609418847	-1.715959736045904	nan	-2.004624026525448	-2.1357445085812596	-1.1366958406572016	-2.699934863221239	-2.324816374212189	-2.617498742810885	-2.226003674888827	-5.227556884294845	-2.1212354287326454	nan	-2.5487756978733103	-2.157141816744023	-2.3982084161379738	-3.5824255892769767	-2.1112275322575584	-1.6086721931563888	-1.3147325934831586	-1.6670343374140395	-1.7636604608316264	-1.8079321155203498	-2.3569750419865634	-1.5644780786560724	-3.531322852220749	-1.4941090702700428	-1.9939533698815852	-1.9816506901211082	-1.7485535684414182	nan	-1.997693532616831	-1.7100475277846034	-1.9988463053836296	-1.4647432890961618	-1.810207062179741	-2.5743258646124194	-2.3936525332754277	nan	-1.121549296903336	-2.5708929182195006	-1.7848805754827048
OG0002037.0	OG0012721.2	OG0004765.12	OG0000002.1788	OG0000575.28	OG0002284.0	OG0000204.2	OG0012733.0	OG0012864.11	OG0012259.0	OG0001851.13	OG0000385.4	OG0006618.0	OG0002722.13	OG0012775.1	OG0001947.0	OG0000219.0	OG0001165.26	OG0002137.2	OG0002766.0	OG0000200.0	OG0006300.0	OG0001135.4	OG0016447.0	OG0002247.8	OG0008766.0	OG0003627.46	OG0001933.0	OG0003299.0	OG0022201.0	OG0000989.0	OG0018156.2	OG0000581.0	OG0000372.92	OG0000831.11	OG0000034.305	OG0001060.26	OG0001801.0	OG0004389.0	OG0001556.24	OG0001085.24	OG0002070.0	OG0025929.0	OG0002243.0	OG0000180.0	OG0006888.6	OG0001267.24	OG0000044.1	OG0001576.0	OG0000459.0	OG0014569.0	OG0024484.0	OG0002235.0	OG0002032.0	OG0001054.1
-2.7651308482946195	-2.9274139529314036	-1.88496675705376	-1.3932735249871873	-1.9850734557618972	-1.690590950759881	-2.006941609418847	-1.5994620704162712	nan	-2.52865644038928	-2.087426774325152	-2.4477213090095638	-2.168122758808327	-2.0920325940534683	nan	-2.5088139035410735	-1.6903581265778393	-2.187707155126729	-2.1597180585730555	-1.277533975528909	-1.6481455608676208	-2.294066319532853	-1.9156635542766762	-3.6184729682968015	-2.1542490330260113	-1.8318714704230512	nan	-2.218262612121666	-1.6670343374140395	-3.412116596179024	-1.7468578474358134	-0.7973628738101624	-1.4398720239187364	-2.4188898247744506	-2.567468121261884	-1.8622341919041214	-2.1328942704973457	-2.2145749964390666	-1.8231666292155102	-2.495735558650761	-2.4469344559543953	-2.321206927643708	-2.075824085003446	-3.131629303260768	-1.341171575656346	-2.512925319948276	-1.742265197871355	-1.859352206845158	-1.943971461077249	-2.072786191607015	-2.5734668618833267	-3.0362299689292374	-2.521183470950585	-2.03268380973072	-1.820106829466452
OG0027778.0	OG0001956.0	OG0000046.1	OG0001128.24	OG0002062.0	OG0002498.2	OG0003173.0	OG0000261.0	OG0000048.122	OG0000004.816	OG0009862.0	OG0002003.1	OG0000451.0	OG0008165.14	OG0002532.34	OG0000107.44	OG0001446.24	OG0013056.0	OG0005754.0	OG0024331.0	OG0013947.0	OG0002211.0	OG0000005.318	OG0006617.0	OG0001912.0	OG0002139.0	OG0047299.0	OG0011980.0	OG0001497.24	OG0011960.4	OG0001133.24	OG0002245.24	OG0003450.0	OG0008530.2	OG0000026.45	OG0006588.0	OG0003364.8	OG0000476.2	OG0030068.0	OG0002232.24	OG0000801.24	OG0001625.2	OG0003768.0	OG0002666.2	OG0000747.2	OG0001636.12	OG0009926.1	OG0000180.0	OG0001183.1	OG0000231.0	OG0000584.0	OG0000197.0	OG0002643.3	OG0009300.0	OG0017945.4
-0.8183249385851031	-4.6518129136030675	-1.8293057663129169	-2.5203555254237644	-2.250165425587271	-1.7161967290716342	-1.6952553422813692	-1.837532132384696	-1.92631684638356	-1.68362251808027	-2.473931188332412	-2.4445764684381	-1.6579004351672157	-1.3643848941302572	-1.478346171733372	-1.6663472852345864	-2.589007712779105	-1.7688133867721352	-1.7958592832197748	nan	-2.3459311372709193	-3.1507212674692195	-2.9345655540513667	-1.588790717209637	-2.217591435072627	-2.8510008374122355	nan	-2.5290727425248734	-2.7093396881886447	-1.8049044228227815	-2.6933877756246023	-3.2022399203681666	-2.0782590139204995	-2.3136563569238193	-1.1872142911325638	-2.168771306825942	-1.9890769728152082	-1.5084034055895519	nan	-2.4492963037521123	-2.7558436043718957	-2.7112280327525977	-2.1053180261449205	-1.673922915076869	-3.4408116863754605	-2.4615611647492424	-2.4595758953553424	-1.341171575656346	-1.810460055611497	-2.2145749964390666	-1.8463243502027624	-1.3874115933012825	-1.6574452545226799	-2.852042118612899	nan
OG0000983.28	OG0005523.0	OG0002209.38	OG0017889.0	OG0000048.122	OG0009855.6	OG0010739.0	OG0000289.0	OG0008211.10	OG0027850.0	OG0002014.0	OG0002284.0	OG0010882.0	OG0001833.32	OG0047017.0	OG0004637.1	OG0005969.0	OG0022007.0	OG0000603.1	OG0000011.866	OG0001879.0	OG0002336.0	OG0002821.0	OG0002722.13	OG0010909.10	OG0000196.0	OG0000175.4	OG0001987.0	OG0009774.0	OG0000863.32	OG0013037.0	OG0000412.76	OG0003598.0	OG0000577.54	OG0002888.0	OG0001307.24	OG0003613.0	OG0001999.0	OG0000246.0	OG0038008.0	OG0014490.0	OG0003194.15	OG0022250.0	OG0000407.1	OG0000607.0	OG0000026.628	OG0001443.24	OG0001272.24	OG0012681.0	OG0001014.26	OG0000675.1	OG0000751.0	OG0000264.1	OG0001357.24	OG0002575.0
-2.3617871145765936	-1.8879004202237648	-2.1475216763576133	-1.8489205269711884	-1.92631684638356	-2.7514651638613215	-3.332498397403117	-2.678071905112638	-2.0749120451200174	-3.362454668397815	-1.7563309190331373	-1.690590950759881	-2.409661466820913	-2.3378856687903387	nan	-1.501646998385488	-1.708867987991247	nan	-2.192974874501356	-1.3733272473940066	-2.9235777245413974	-2.056491198838264	-2.576905945850098	-2.0920325940534683	-3.7371579663300873	-1.1752728727678972	-2.589007712779105	-2.403160245562215	-1.7173822785186517	-2.0991235338421013	-2.0279691158586677	-1.8988878415258497	-2.5666131908422645	-3.213570916796944	-1.509019196325609	-2.1720184273524383	-2.048113850300326	-2.056491198838264	-1.7636604608316264	nan	-2.0226834370912896	-2.25877033622704	-1.266385346925077	-2.039784866105864	-1.4281775931667966	-1.9029286294560968	-2.229044129208878	-2.4771407448083025	-2.8677522017015606	-2.4965494909944312	-2.365127976835786	-2.5743258646124194	-2.5708929182195006	-2.051399152506644	-1.5403585500713883
OG0012222.4	OG0000012.918	OG0000263.57	OG0001330.24	OG0002134.0	OG0004652.6	OG0029262.0	OG0025588.0	OG0008994.0	OG0000411.0	OG0000289.0	OG0001578.0	OG0001198.26	OG0000183.0	OG0009867.4	OG0000775.24	OG0001881.0	OG0001695.22	OG0000741.0	OG0006605.0	OG0057189.0	OG0017959.0	OG0005789.1	OG0000603.1	OG0001342.24	OG0012369.6	OG0003408.0	OG0000380.29	OG0002851.1	OG0003020.3	OG0016063.0	OG0001156.1	OG0000793.0	OG0001167.24	OG0002188.22	OG0003194.15	OG0000078.263	OG0000409.24	OG0004766.0	OG0016230.0	OG0000294.0	OG0000139.0	OG0002555.0	OG0012823.2	OG0000288.79	OG0043887.0	OG0002593.5	OG0007432.4	OG0002092.0	OG0001282.24	OG0000886.24	OG0001136.24	OG0011196.0	OG0002214.0	OG0002403.0
-4.069149143359178	-1.4031602455622152	-3.435338929969181	-1.8651219456568886	-2.3997302464909955	-2.167150483106546	nan	nan	-2.002310160687201	-2.7254699553283768	-2.678071905112638	-2.2761356763732725	-1.925768605814208	-1.753409497094819	-3.495572827271547	-3.4759363242227894	-2.1430541367175673	-2.4065984188743528	-2.6506347224057865	-1.6926880609358124	nan	-2.4485085914525055	-2.286304185156641	-2.192974874501356	-2.0975790576846496	-3.5923100701967976	-1.738409011035875	-2.7495234474970305	-2.2412704315421372	-1.9162079675061139	-1.943971461077249	-2.0516981876493645	-1.5803532474685666	-2.6029637591278236	-2.5513104482311593	-2.25877033622704	-2.729291666280785	-2.291945228671648	-1.7767010266672103	-2.4635491698052916	-2.20058107800892	-1.5587290095614008	-1.9691695698467255	-3.2365034386346845	-1.8788519435246895	nan	-1.8318714704230512	-1.1788612625092965	-2.4707287562940685	-2.646563782138217	-1.936497057693842	-2.255666652618641	-1.5721793160228665	-1.4558113933530294	-1.479150349591925
OG0001112.46	OG0000188.1	OG0000639.0	OG0011295.0	OG0000448.96	OG0003353.0	OG0010524.6	OG0000522.0	OG0001044.24	OG0027743.0	OG0007144.1	OG0000632.24	OG0001572.24	OG0001542.3	OG0000002.763	OG0001051.24	OG0013884.2	OG0001656.2	OG0000177.8	OG0001779.0	OG0003410.4	OG0001918.20	OG0007957.0	OG0010038.0	OG0027756.0	OG0000039.0	OG0002529.1	OG0000206.0	OG0014862.2	OG0012071.2	OG0001732.10	OG0001167.24	OG0001999.0	OG0000955.28	OG0002052.0	OG0004391.0	OG0006812.2	OG0009144.0	OG0005589.0	OG0000062.12	OG0044625.0	OG0007055.0	OG0005513.0	OG0002045.0	OG0006280.10	OG0000495.68	OG0046544.0	OG0001872.0	OG0001347.26	OG0002187.22	OG0000264.1	OG0000197.0	OG0002027.0	OG0002031.0	OG0003032.7
