OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
18.0	1.0	1.0	6.0	4.0	1.0	1.0	11.0	1.0	11.0	1.0	3.0	1.0	3.0	13.0	1.0	3.0	2.0	3.0	3.0	19.0	2.0	7.0	1.0	4.0	1.0	2.0	1.0	13.0	1.0	2.0	1.0	1.0	10.0	21.0	1.0	1.0	1.0	1.0	2.0	15.0	1.0	1.0	1.0	6.0	3.0	11.0	19.0	1.0	1.0	6.0	1.0	3.0	12.0	2.0
OG0009128.2	OG0011129.17	OG0002893.12	OG0006614.0	OG0048102.0	OG0005533.0	OG0046306.0	OG0022278.0	OG0002674.20	OG0043821.0	OG0037921.0	OG0024801.0	OG0034836.0	OG0019471.0	OG0009922.0	OG0013316.8	OG0001998.0	OG0005580.17	OG0006280.10	OG0003432.0	OG0002812.52	OG0016690.6	OG0015106.4	OG0022206.0	OG0023099.0	OG0047181.0	OG0002505.16	OG0013475.2	OG0015923.4	OG0028074.0	OG0006705.0	OG0012987.3	OG0048120.0	OG0014588.1	OG0012206.0	OG0029061.0	OG0003244.46	OG0026279.0	OG0018108.6	OG0019012.0	OG0045191.0	OG0054106.0	OG0000008.388	OG0044521.0	OG0002189.0	OG0002085.0	OG0011669.2	OG0025947.0	OG0011987.0	OG0057149.0	OG0045482.0	OG0008484.3	OG0056841.0	OG0012338.0	OG0007361.1
3.0	1.0	21.0	4.0	1.0	6.0	1.0	3.0	14.0	1.0	1.0	1.0	1.0	1.0	8.0	2.0	27.0	5.0	4.0	18.0	6.0	1.0	1.0	1.0	1.0	1.0	20.0	3.0	1.0	1.0	4.0	3.0	1.0	2.0	5.0	2.0	12.0	1.0	1.0	2.0	1.0	1.0	21.0	1.0	24.0	27.0	2.0	2.0	4.0	1.0	1.0	1.0	1.0	2.0	7.0
OG0013594.4	OG0012700.0	OG0001438.24	OG0044949.0	OG0025985.0	OG0044093.0	OG0004862.0	OG0024491.0	OG0048056.0	OG0060459.0	OG0045747.0	OG0044378.0	OG0046108.0	OG0007253.14	OG0025816.0	OG0019576.0	OG0002445.1	OG0014027.3	OG0021385.0	OG0000143.0	OG0044400.0	OG0004976.2	OG0008115.22	OG0015631.8	OG0014999.6	OG0034479.0	OG0023085.0	OG0020639.0	OG0007754.2	OG0054031.0	OG0045404.0	OG0024480.0	OG0025871.0	OG0012828.0	OG0044133.0	OG0017043.0	OG0057592.0	OG0013208.8	OG0037682.0	OG0005959.0	OG0011747.0	OG0025049.0	OG0014953.1	OG0006396.6	OG0006518.0	OG0000477.49	OG0057462.0	OG0017099.6	OG0018844.6	OG0038759.0	OG0010830.1	OG0005584.0	OG0012514.0	OG0008590.0	OG0001061.24
3.0	3.0	27.0	1.0	2.0	1.0	12.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	19.0	4.0	2.0	11.0	1.0	15.0	2.0	1.0	1.0	1.0	2.0	3.0	7.0	1.0	1.0	2.0	1.0	6.0	1.0	2.0	1.0	2.0	1.0	6.0	2.0	2.0	1.0	1.0	4.0	25.0	1.0	1.0	1.0	1.0	2.0	5.0	4.0	3.0	27.0
OG0019756.0	OG0000151.0	OG0011494.6	OG0016938.2	OG0000302.34	OG0022845.0	OG0013298.0	OG0035712.0	OG0034766.0	OG0048128.0	OG0007595.0	OG0022586.0	OG0004534.0	OG0011650.0	OG0008587.0	OG0046228.0	OG0038097.0	OG0048972.0	OG0011142.10	OG0046797.0	OG0005027.0	OG0007546.0	OG0006116.2	OG0044505.0	OG0020313.0	OG0047456.0	OG0011491.0	OG0041549.0	OG0019588.0	OG0057046.0	OG0016954.4	OG0046002.0	OG0035594.0	OG0044271.0	OG0028462.0	OG0057543.0	OG0000113.0	OG0001754.11	OG0006707.0	OG0004071.2	OG0000589.0	OG0037766.0	OG0007451.0	OG0020529.0	OG0013245.7	OG0020858.0	OG0044617.0	OG0054130.0	OG0003796.0	OG0056628.0	OG0013021.0	OG0003099.0	OG0012647.4	OG0057226.0	OG0009130.0
1.0	26.0	4.0	1.0	27.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	4.0	3.0	4.0	1.0	1.0	1.0	2.0	1.0	5.0	13.0	12.0	1.0	2.0	1.0	6.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	24.0	1.0	4.0	19.0	22.0	1.0	5.0	3.0	2.0	3.0	1.0	1.0	9.0	1.0	6.0	7.0	2.0	1.0	8.0
OG0028158.0	OG0000596.172	OG0026556.0	OG0022256.0	OG0038847.0	OG0053840.0	OG0007448.2	OG0057202.0	OG0011429.8	OG0034788.0	OG0000271.0	OG0053961.0	OG0004207.12	OG0047449.0	OG0018619.0	OG0006798.0	OG0015612.4	OG0012827.1	OG0012661.12	OG0023831.0	OG0054095.0	OG0015322.4	OG0054109.0	OG0046064.0	OG0019472.0	OG0027627.0	OG0020451.0	OG0046077.0	OG0034492.0	OG0019070.6	OG0000599.0	OG0043745.0	OG0016001.2	OG0011708.0	OG0000983.28	OG0057464.0	OG0007272.0	OG0044280.0	OG0019530.0	OG0000127.0	OG0020310.0	OG0005083.0	OG0057122.0	OG0018896.0	OG0011893.2	OG0056905.0	OG0004827.0	OG0044557.0	OG0011707.15	OG0001590.32	OG0000840.0	OG0028305.0	OG0002266.62	OG0018782.3	OG0056665.0
1.0	2.0	1.0	2.0	1.0	1.0	11.0	1.0	2.0	1.0	25.0	1.0	11.0	1.0	2.0	6.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	27.0	1.0	2.0	3.0	27.0	1.0	4.0	1.0	1.0	27.0	1.0	16.0	1.0	3.0	2.0	1.0	12.0	1.0	1.0	24.0	11.0	1.0	1.0	1.0	1.0
OG0006257.0	OG0043717.0	OG0011612.7	OG0024991.0	OG0009035.2	OG0002436.1	OG0028032.0	OG0006627.0	OG0021030.0	OG0029002.0	OG0049122.0	OG0020589.0	OG0001740.7	OG0005298.1	OG0003415.2	OG0044967.0	OG0046264.0	OG0045237.0	OG0016926.2	OG0007110.33	OG0002525.0	OG0021630.0	OG0027720.0	OG0022618.0	OG0015367.6	OG0023167.0	OG0023107.0	OG0005392.0	OG0000416.1	OG0053842.0	OG0013932.4	OG0011729.4	OG0004415.0	OG0043707.0	OG0012159.0	OG0014343.0	OG0034265.0	OG0004328.0	OG0011161.4	OG0027485.0	OG0000437.42	OG0017984.1	OG0000162.4	OG0002878.3	OG0013325.4	OG0026481.0	OG0013291.0	OG0018784.6	OG0028513.0	OG0028501.0	OG0038116.0	OG0018971.3	OG0002403.0	OG0026292.0	OG0043361.0
5.0	1.0	2.0	1.0	7.0	16.0	1.0	4.0	1.0	2.0	1.0	3.0	24.0	4.0	20.0	1.0	1.0	1.0	2.0	1.0	8.0	1.0	1.0	2.0	1.0	1.0	1.0	12.0	6.0	1.0	2.0	2.0	18.0	1.0	4.0	3.0	1.0	15.0	3.0	1.0	25.0	2.0	20.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	21.0	1.0	1.0
OG0000619.52	OG0046061.0	OG0007866.8	OG0005561.0	OG0057178.0	OG0027682.0	OG0003760.0	OG0045476.0	OG0003398.75	OG0025726.0	OG0012873.2	OG0013303.11	OG0016765.0	OG0003103.85	OG0034763.0	OG0053801.0	OG0005949.0	OG0017960.2	OG0002205.0	OG0014764.4	OG0003407.16	OG0028964.0	OG0013989.0	OG0001705.16	OG0001046.24	OG0027671.0	OG0016404.0	OG0046609.0	OG0053965.0	OG0048865.0	OG0043577.0	OG0003780.4	OG0019186.0	OG0019699.0	OG0047236.0	OG0038903.0	OG0000892.1	OG0009890.0	OG0037726.0	OG0005355.1	OG0011921.8	OG0038149.0	OG0019454.0	OG0012926.0	OG0038894.0	OG0000596.172	OG0001635.0	OG0017375.5	OG0027734.0	OG0038034.0	OG0010138.12	OG0045805.0	OG0007386.1	OG0026878.0	OG0007837.4
27.0	1.0	2.0	6.0	1.0	1.0	7.0	1.0	2.0	1.0	3.0	1.0	2.0	1.0	1.0	1.0	5.0	2.0	26.0	3.0	3.0	1.0	4.0	14.0	27.0	1.0	2.0	1.0	1.0	1.0	1.0	19.0	2.0	2.0	1.0	1.0	27.0	7.0	1.0	5.0	3.0	1.0	2.0	3.0	1.0	2.0	27.0	1.0	1.0	1.0	2.0	1.0	7.0	1.0	4.0
OG0057409.0	OG0048875.0	OG0000099.0	OG0019251.0	OG0005906.3	OG0038856.0	OG0006955.2	OG0004328.0	OG0024480.0	OG0003099.0	OG0046403.0	OG0007766.0	OG0017471.0	OG0021458.0	OG0005882.2	OG0047613.0	OG0035824.0	OG0026480.0	OG0006562.0	OG0027479.0	OG0023069.0	OG0019522.0	OG0017439.2	OG0006027.0	OG0027793.0	OG0020852.0	OG0005502.0	OG0047452.0	OG0000667.6	OG0010910.16	OG0007301.2	OG0057356.0	OG0013145.9	OG0049015.0	OG0006834.2	OG0035826.0	OG0028903.0	OG0018093.2	OG0057247.0	OG0038693.0	OG0012901.8	OG0044473.0	OG0018771.6	OG0015121.5	OG0044144.0	OG0021221.0	OG0060370.0	OG0018412.0	OG0029207.0	OG0012168.13	OG0027874.0	OG0018381.6	OG0013494.3	OG0029108.0	OG0014593.0
1.0	1.0	27.0	1.0	10.0	1.0	3.0	15.0	2.0	7.0	1.0	9.0	2.0	2.0	15.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	3.0	5.0	1.0	3.0	6.0	1.0	2.0	2.0	3.0	1.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0
OG0017076.3	OG0000243.0	OG0002836.4	OG0014704.4	OG0003208.0	OG0024758.0	OG0013191.3	OG0002283.0	OG0007932.0	OG0044436.0	OG0009114.2	OG0009307.2	OG0024760.0	OG0015277.0	OG0004085.0	OG0030172.0	OG0002439.13	OG0044736.0	OG0046754.0	OG0003098.1	OG0011337.10	OG0028814.0	OG0056860.0	OG0002721.1	OG0000004.1077	OG0044184.0	OG0018854.3	OG0000363.43	OG0011545.1	OG0014594.4	OG0041506.0	OG0012531.0	OG0013072.9	OG0002956.4	OG0003604.3	OG0020697.0	OG0006209.0	OG0034262.0	OG0011388.0	OG0015107.9	OG0007387.6	OG0034967.0	OG0017263.4	OG0014145.0	OG0005186.0	OG0048129.0	OG0044975.0	OG0016680.0	OG0057108.0	OG0016889.0	OG0049069.0	OG0015093.9	OG0003303.67	OG0006915.0	OG0038675.0
1.0	24.0	24.0	3.0	9.0	1.0	1.0	25.0	3.0	1.0	7.0	4.0	1.0	3.0	12.0	1.0	18.0	1.0	1.0	1.0	2.0	1.0	1.0	6.0	11.0	1.0	1.0	20.0	2.0	3.0	1.0	3.0	1.0	19.0	10.0	2.0	4.0	1.0	6.0	1.0	7.0	1.0	2.0	3.0	6.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	3.0	3.0	1.0
OG0019453.0	OG0016117.2	OG0045519.0	OG0007886.0	OG0019221.0	OG0045725.0	OG0046365.0	OG0019162.0	OG0021340.0	OG0046521.0	OG0004478.4	OG0019046.5	OG0048114.0	OG0044267.0	OG0016974.4	OG0021954.0	OG0001163.24	OG0034665.0	OG0004982.10	OG0001417.24	OG0044419.0	OG0054085.0	OG0020319.0	OG0009274.0	OG0003873.0	OG0007797.0	OG0000390.4	OG0027456.0	OG0008331.4	OG0046283.0	OG0043641.0	OG0046514.0	OG0027617.0	OG0046345.0	OG0014237.1	OG0000004.778	OG0009955.7	OG0045153.0	OG0013607.3	OG0005557.0	OG0000405.0	OG0000553.6	OG0029194.0	OG0001632.11	OG0007655.2	OG0010033.0	OG0006475.2	OG0002493.6	OG0001004.1	OG0001598.16	OG0045981.0	OG0011571.11	OG0022885.0	OG0027023.0	OG0000432.163
