0.0167584	1e-07	0.453592	0.1	0.182704	0.0155472	0.141624	1e-07	0.108892	0.115477	1e-07	0.23294099999999998	0.199848	0.172758	0.0155472	nan	nan	1e-07	nan	1e-07	1e-07	0.179482	0.293013	1e-07	nan	nan	nan	nan	0.0634716	nan	1e-07	0.0276551	0.265491	1e-07	0.12140899999999999	0.0456691	0.146428	nan	nan	0.0597573	nan	1e-07	0.0263306	nan	0.015169899999999998	0.230579	0.0962809	0.255285	0.130997	0.145086	nan	nan	nan	0.183283	0.244759
OG0002037.0	OG0012721.2	OG0004765.12	OG0000002.1788	OG0000575.28	OG0002284.0	OG0000204.2	OG0012733.0	OG0012864.11	OG0012259.0	OG0001851.13	OG0000385.4	OG0006618.0	OG0002722.13	OG0012775.1	OG0001947.0	OG0000219.0	OG0001165.26	OG0002137.2	OG0002766.0	OG0000200.0	OG0006300.0	OG0001135.4	OG0016447.0	OG0002247.8	OG0008766.0	OG0003627.46	OG0001933.0	OG0003299.0	OG0022201.0	OG0000989.0	OG0018156.2	OG0000581.0	OG0000372.92	OG0000831.11	OG0000034.305	OG0001060.26	OG0001801.0	OG0004389.0	OG0001556.24	OG0001085.24	OG0002070.0	OG0025929.0	OG0002243.0	OG0000180.0	OG0006888.6	OG0001267.24	OG0000044.1	OG0001576.0	OG0000459.0	OG0014569.0	OG0024484.0	OG0002235.0	OG0002032.0	OG0001054.1
1e-07	nan	nan	0.25140999999999997	0.04989469999999999	0.0844349	0.172758	nan	nan	nan	0.10728199999999999	1e-07	nan	0.267598	nan	0.06526749999999999	nan	0.044570599999999995	0.0781926	0.44081400000000004	0.206423	nan	0.042982599999999996	nan	0.279638	0.106939	nan	0.0155472	1e-07	nan	0.152028	nan	0.158916	0.031292	1e-07	0.230723	1e-07	0.0298167	nan	1e-07	1e-07	1e-07	nan	1e-07	0.20710100000000004	0.230537	0.018409400000000003	0.21297399999999997	0.228514	0.131226	nan	nan	0.09606050000000001	0.038302300000000004	0.0166027
OG0027778.0	OG0001956.0	OG0000046.1	OG0001128.24	OG0002062.0	OG0002498.2	OG0003173.0	OG0000261.0	OG0000048.122	OG0000004.816	OG0009862.0	OG0002003.1	OG0000451.0	OG0008165.14	OG0002532.34	OG0000107.44	OG0001446.24	OG0013056.0	OG0005754.0	OG0024331.0	OG0013947.0	OG0002211.0	OG0000005.318	OG0006617.0	OG0001912.0	OG0002139.0	OG0047299.0	OG0011980.0	OG0001497.24	OG0011960.4	OG0001133.24	OG0002245.24	OG0003450.0	OG0008530.2	OG0000026.45	OG0006588.0	OG0003364.8	OG0000476.2	OG0030068.0	OG0002232.24	OG0000801.24	OG0001625.2	OG0003768.0	OG0002666.2	OG0000747.2	OG0001636.12	OG0009926.1	OG0000180.0	OG0001183.1	OG0000231.0	OG0000584.0	OG0000197.0	OG0002643.3	OG0009300.0	OG0017945.4
nan	0.0674442	0.263934	0.0167584	1e-07	0.1	0.42527	0.13006099999999998	0.10403399999999999	nan	0.21889299999999998	0.0155472	0.261025	nan	0.201121	0.18768800000000002	0.0942596	nan	nan	nan	1e-07	0.0219903	0.111919	nan	0.0264335	1e-07	nan	nan	0.018409400000000003	nan	1e-07	0.033661300000000005	0.017406900000000003	nan	0.171595	nan	1e-07	0.239017	nan	0.06256	0.0344505	0.0507389	1e-07	1e-07	0.0867587	0.03577469999999999	nan	0.20710100000000004	0.039222900000000005	0.0897671	0.0888893	0.237366	0.198706	nan	nan
OG0000983.28	OG0005523.0	OG0002209.38	OG0017889.0	OG0000048.122	OG0009855.6	OG0010739.0	OG0000289.0	OG0008211.10	OG0027850.0	OG0002014.0	OG0002284.0	OG0010882.0	OG0001833.32	OG0047017.0	OG0004637.1	OG0005969.0	OG0022007.0	OG0000603.1	OG0000011.866	OG0001879.0	OG0002336.0	OG0002821.0	OG0002722.13	OG0010909.10	OG0000196.0	OG0000175.4	OG0001987.0	OG0009774.0	OG0000863.32	OG0013037.0	OG0000412.76	OG0003598.0	OG0000577.54	OG0002888.0	OG0001307.24	OG0003613.0	OG0001999.0	OG0000246.0	OG0038008.0	OG0014490.0	OG0003194.15	OG0022250.0	OG0000407.1	OG0000607.0	OG0000026.628	OG0001443.24	OG0001272.24	OG0012681.0	OG0001014.26	OG0000675.1	OG0000751.0	OG0000264.1	OG0001357.24	OG0002575.0
0.0220237	nan	0.145317	nan	0.10403399999999999	nan	0.24645100000000003	0.19706300000000002	nan	nan	1e-07	0.0844349	nan	0.116474	nan	nan	nan	nan	0.152282	0.208182	1e-07	0.053546800000000006	0.206083	0.267598	nan	0.46099799999999996	0.09717	0.016761	nan	0.0155472	1e-07	1e-07	0.12331400000000001	0.0167966	0.18049	0.0166027	0.0155076	1e-07	0.12140899999999999	nan	nan	0.425099	nan	0.157685	0.158405	0.0526186	0.0166027	0.0696346	nan	1e-07	0.0606769	0.145086	0.183283	0.016698599999999997	1e-07
OG0012222.4	OG0000012.918	OG0000263.57	OG0001330.24	OG0002134.0	OG0004652.6	OG0029262.0	OG0025588.0	OG0008994.0	OG0000411.0	OG0000289.0	OG0001578.0	OG0001198.26	OG0000183.0	OG0009867.4	OG0000775.24	OG0001881.0	OG0001695.22	OG0000741.0	OG0006605.0	OG0057189.0	OG0017959.0	OG0005789.1	OG0000603.1	OG0001342.24	OG0012369.6	OG0003408.0	OG0000380.29	OG0002851.1	OG0003020.3	OG0016063.0	OG0001156.1	OG0000793.0	OG0001167.24	OG0002188.22	OG0003194.15	OG0000078.263	OG0000409.24	OG0004766.0	OG0016230.0	OG0000294.0	OG0000139.0	OG0002555.0	OG0012823.2	OG0000288.79	OG0043887.0	OG0002593.5	OG0007432.4	OG0002092.0	OG0001282.24	OG0000886.24	OG0001136.24	OG0011196.0	OG0002214.0	OG0002403.0
nan	0.199795	0.0416776	1e-07	1e-07	nan	nan	nan	0.1	0.047806	0.19706300000000002	0.270701	1e-07	0.129415	nan	0.023739	0.0155472	0.0240895	0.0361671	nan	nan	nan	nan	0.152282	0.0155472	nan	1e-07	0.08478510000000002	0.0484209	0.15046600000000002	nan	1e-07	0.251656	1e-07	1e-07	0.425099	0.0155472	0.0887016	nan	nan	0.0241349	0.253116	0.378664	nan	1e-07	nan	0.10976099999999998	0.214464	0.015210900000000001	0.13041	0.0514846	1e-07	nan	1e-07	0.204122
OG0001112.46	OG0000188.1	OG0000639.0	OG0011295.0	OG0000448.96	OG0003353.0	OG0010524.6	OG0000522.0	OG0001044.24	OG0027743.0	OG0007144.1	OG0000632.24	OG0001572.24	OG0001542.3	OG0000002.763	OG0001051.24	OG0013884.2	OG0001656.2	OG0000177.8	OG0001779.0	OG0003410.4	OG0001918.20	OG0007957.0	OG0010038.0	OG0027756.0	OG0000039.0	OG0002529.1	OG0000206.0	OG0014862.2	OG0012071.2	OG0001732.10	OG0001167.24	OG0001999.0	OG0000955.28	OG0002052.0	OG0004391.0	OG0006812.2	OG0009144.0	OG0005589.0	OG0000062.12	OG0044625.0	OG0007055.0	OG0005513.0	OG0002045.0	OG0006280.10	OG0000495.68	OG0046544.0	OG0001872.0	OG0001347.26	OG0002187.22	OG0000264.1	OG0000197.0	OG0002027.0	OG0002031.0	OG0003032.7
